playerId,player,team,conference,category,statType,stat
4044431,K.J. Costello,Mississippi State,SEC,passing,YDS,623
4034946,Kyle Trask,Florida,SEC,passing,YDS,416
4427238,Dillon Gabriel,UCF,American Athletic,passing,YDS,408
4362874,Matt Corral,Ole Miss,SEC,passing,YDS,395
4426339,Spencer Rattler,Oklahoma,Big 12,passing,YDS,387
4374350,Asher O'Hara,Middle Tennessee,Conference USA,passing,YDS,372
4361259,Zach Wilson,BYU,FBS Independents,passing,YDS,352
4242210,Myles Brennan,LSU,SEC,passing,YDS,345
4036419,Skylar John Thompson,Kansas State,Big 12,passing,YDS,334
4362159,Alan Bowman,Texas Tech,Big 12,passing,YDS,325
4427839,Bryson Lucero,UAB,Conference USA,passing,YDS,319
4043980,Luke Anthony,Louisiana Tech,Conference USA,passing,YDS,314
4040407,Jack Abraham,Southern Mississippi,Conference USA,passing,YDS,306
4575668,Gavin Hardison,UTEP,Conference USA,passing,YDS,302
4036357,Collin Hill,South Carolina,SEC,passing,YDS,290
4241556,Levi Lewis,Louisiana,Sun Belt,passing,YDS,290
4242512,Malik Willis,Liberty,FBS Independents,passing,YDS,285
4244029,Jarret Doege,West Virginia,Big 12,passing,YDS,285
4370775,Brennan Armstrong,Virginia,ACC,passing,YDS,269
4039300,D'Eriq King,Miami,ACC,passing,YDS,267
4241820,Sam Ehlinger,Texas,Big 12,passing,YDS,262
4035167,Jarrett Guarantano,Tennessee,SEC,passing,YDS,259
4239086,Desmond Ridder,Cincinnati,American Athletic,passing,YDS,258
4036650,Shai Werts,Georgia Southern,Sun Belt,passing,YDS,255
4241464,Mac Jones,Alabama,SEC,passing,YDS,249
4239994,Chase Brice,Duke,ACC,passing,YDS,246
4038940,Terry Wilson,Kentucky,SEC,passing,YDS,239
4567218,Bo Nix,Auburn,SEC,passing,YDS,233
4241635,Josh Adkins,UT San Antonio,Conference USA,passing,YDS,233
4371730,Brady McBride,Texas State,Sun Belt,passing,YDS,229
4240703,Kenny Pickett,Pittsburgh,ACC,passing,YDS,220
4360131,Holton Ahlers,East Carolina,American Athletic,passing,YDS,215
4361741,Brock Purdy,Iowa State,Big 12,passing,YDS,211
4259553,Stetson Bennett,Georgia,SEC,passing,YDS,211
4427105,Max Duggan,TCU,Big 12,passing,YDS,210
4372768,Phil Jurkovec,Boston College,ACC,passing,YDS,210
4044122,Anthony Russo,Temple,American Athletic,passing,YDS,206
4034948,Feleipe Franks,Arkansas,SEC,passing,YDS,200
4240391,Tommy DeVito,Syracuse,ACC,passing,YDS,194
4240904,Kellen Mond,Texas A&M,SEC,passing,YDS,189
4241784,Shawn Robinson,Missouri,SEC,passing,YDS,185
4365325,Colby Suits,Louisiana Monroe,Sun Belt,passing,YDS,184
4429066,Jeff Sims,Georgia Tech,ACC,passing,YDS,174
4685975,Chance Lovertich,South Alabama,Sun Belt,passing,YDS,165
4361653,Devin Leary,NC State,ACC,passing,YDS,165
4362723,Gunnar Watson,Troy,Sun Belt,passing,YDS,162
4596472,Jalon Daniels,Kansas,Big 12,passing,YDS,159
4379400,Matthew Downing,TCU,Big 12,passing,YDS,159
4431375,Ken Seals,Vanderbilt,SEC,passing,YDS,150
4241222,Charlie Brewer,Baylor,Big 12,passing,YDS,142
4685039,Michael Pratt,Tulane,American Athletic,passing,YDS,142
4039034,Shane Buechele,SMU,American Athletic,passing,YDS,141
4429070,Shane Illingworth,Oklahoma State,Big 12,passing,YDS,139
4036429,Zac Thomas,Appalachian State,Sun Belt,passing,YDS,131
4240020,James Blackman,Florida State,ACC,passing,YDS,120
4430260,Stone Norton,Florida International,Conference USA,passing,YDS,120
4240069,Malik Cunningham,Louisville,ACC,passing,YDS,107
4242490,Braxton Burmeister,Virginia Tech,ACC,passing,YDS,106
4258447,Christian Anderson,Army,FBS Independents,passing,YDS,94
4240025,Bailey Hockman,NC State,ACC,passing,YDS,82
4361254,Baylor Romney,BYU,FBS Independents,passing,YDS,80
4361959,Quincy Patterson II,Virginia Tech,ACC,passing,YDS,75
4245186,Frank Harris,UT San Antonio,Conference USA,passing,YDS,70
4426444,Connor Bazelak,Missouri,SEC,passing,YDS,68
4427914,D'Wan Mathis,Georgia,SEC,passing,YDS,55
4685720,Bryce Young,Alabama,SEC,passing,YDS,54
4240628,N'Kosi Perry,Miami,ACC,passing,YDS,50
4243715,Dalen Morris,Navy,American Athletic,passing,YDS,48
4433886,Tate Rodemaker,Florida State,ACC,passing,YDS,47
4567240,Dontario Drummond,Ole Miss,SEC,passing,YDS,45
4240452,Chris Katrenick,Duke,ACC,passing,YDS,40
4384187,Aaron Allen,Louisiana Tech,Conference USA,passing,YDS,39
4044123,Branden Mack,Temple,American Athletic,passing,YDS,35
4429665,Terrance Gipson,SMU,American Athletic,passing,YDS,31
4360230,Emory Jones,Florida,SEC,passing,YDS,30
4034303,Chris Ferguson,Liberty,FBS Independents,passing,YDS,23
4360799,Jordan Travis,Florida State,ACC,passing,YDS,12
4036215,Max Bortenschlager,Florida International,Conference USA,passing,YDS,11
4362915,Gerry Bohannon,Baylor,Big 12,passing,YDS,7
4262160,Westin Elliott,Louisiana Tech,Conference USA,passing,YDS,7
4244648,Kaylan Wiggins,Florida International,Conference USA,passing,YDS,5
4360056,Ben Bryant,Cincinnati,American Athletic,passing,YDS,4
4428961,Jordan Yates,Georgia Tech,ACC,passing,YDS,4
4567149,K.J. Jefferson,Arkansas,SEC,passing,YDS,3
4426494,John Rhys Plumlee,Ole Miss,SEC,passing,YDS,3
4689899,Jeremy Hunt,Louisiana Monroe,Sun Belt,passing,YDS,2
4369847,Paxton Brooks,Tennessee,SEC,passing,YDS,2
-6360, Team,Louisiana,Sun Belt,passing,YDS,0
-6654, Team,Middle Tennessee,Conference USA,passing,YDS,0
4362079,Joshua Moore,Texas,Big 12,passing,YDS,0
4242377,Neil Pau'u,BYU,FBS Independents,passing,YDS,0
4567156,Treylon Burks,Arkansas,SEC,passing,YDS,0
4242243,Keytaon Thompson,Virginia,ACC,passing,YDS,0
4050370,Keon Howard,Tulane,American Athletic,passing,YDS,0
-6047, Team,Georgia,SEC,passing,YDS,0
-7029, Team,Oklahoma State,Big 12,passing,YDS,0
-103071, Team,UT San Antonio,Conference USA,passing,YDS,0
4363005,Sheldon Jones,UT San Antonio,Conference USA,passing,YDS,0
4242654,Jacob Free,Troy,Sun Belt,passing,YDS,0
-6626, Team,Miami,ACC,passing,YDS,0
4429362,Jalon Calhoun,Duke,ACC,passing,YDS,0
-6827, Team,NC State,ACC,passing,YDS,0
4259976,Josh Ali,Kentucky,SEC,passing,YDS,0
4240850,Lindell Stone,Virginia,ACC,passing,YDS,-7
