Rank,Cl,Pos,G,RushYds,RecYds,PuntRetYds,KORetYds,IntRetYds,MiscYds,Plays,Yds,YPG,Player,school,conf
1,Sr.,WR,3,0,457,0,278,0,0,24,735,245,D'Wayne Eskridge,Western Mich.,MAC
2,Sr.,WR,3,109,252,-2,222,0,0,38,581,194,Justin Hall,Ball St.,MAC
3,Sr.,RB,2,218,2,0,160,0,0,42,380,190,De'Montre Tuggle,Ohio,MAC
4,Jr.,RB,5,817,56,0,47,0,0,165,920,184,Mohamed Ibrahim,Minnesota,Big Ten
5,Sr.,RB,4,439,227,41,0,0,0,108,707,177,Ronnie Rivers,Fresno St.,Mountain West
6,So.,RB,2,308,22,0,13,0,0,62,343,172,Jarek Broussard,Colorado,Pac-12
7,Jr.,RB,3,455,56,0,0,0,0,71,511,170,Jaret Patterson,Buffalo,MAC
8,Jr.,WR,4,4,645,39,0,0,0,38,680,170,Romeo Doubs,Nevada,Mountain West
9,Jr.,WR,2,54,201,0,83,0,0,24,338,169,Travell Harris,Washington St.,Pac-12
10,Fr.,WR,3,0,157,8,334,0,0,24,499,166,Trayvon Rudolph,Northern Ill.,MAC
11,Sr.,RB,8,852,121,0,330,0,0,121,1303,163,Khalil Herbert,Virginia Tech,ACC
12,So.,RB,7,1034,88,0,0,0,0,180,1122,160,Breece Hall,Iowa St.,Big 12
13,Jr.,WR,7,62,1054,-1,0,0,0,88,1115,159,Elijah Moore,Ole Miss,SEC
14,Sr.,RB,8,634,491,44,95,0,0,163,1264,158,Travis Etienne,Clemson,ACC
15,Jr.,RB,3,397,76,0,0,0,0,93,473,158,Xazavian Valladay,Wyoming,Mountain West
16,Sr.,WR,1,0,110,0,44,0,0,8,154,154,Tayvian Cunningham,Arizona,Pac-12
17,Sr.,RB,4,537,72,0,0,0,0,94,609,152,Greg Bell,San Diego St.,Mountain West
18,Jr.,RB,3,434,22,0,0,0,0,72,456,152,Teon Dollard,Akron,MAC
18,Jr.,RB,2,253,51,0,0,0,0,50,304,152,Jermar Jefferson,Oregon St.,Pac-12
20,Jr.,WR,2,8,63,0,232,0,0,17,303,152,Champ Flemings,Oregon St.,Pac-12
21,Sr.,RB,2,164,74,0,63,0,0,48,301,151,Demetric Felton,UCLA,Pac-12
22,Sr.,RB,3,437,13,0,0,0,0,81,450,150,Caleb Huntley,Ball St.,MAC
23,Sr.,RB,6,714,183,0,0,0,0,144,897,150,Najee Harris,Alabama,SEC
24,Sr.,RB,8,807,229,0,156,0,0,145,1192,149,Michael Carter,North Carolina,ACC
24,So.,WR,3,67,344,32,4,0,0,30,447,149,Garrett Wilson,Ohio St.,Big Ten
26,Fr.,RB,6,503,84,0,306,0,0,113,893,149,Tank Bigsby,Auburn,SEC
27,Jr.,RB,1,76,70,0,0,0,0,15,146,146,Rachaad White,Arizona St.,Pac-12
28,Jr.,RB,2,223,66,0,0,0,0,45,289,145,CJ Verdell,Oregon,Pac-12
29,Jr.,WR,2,0,213,32,43,0,0,20,288,144,Amon-Ra St. Brown,Southern California,Pac-12
30,So.,RB,2,114,0,0,172,0,0,18,286,143,Nathaniel Peat,Stanford,Pac-12
31,Jr.,RB,3,301,125,0,0,0,0,81,426,142,Bryant Koback,Toledo,MAC
32,Sr.,WR,5,0,689,20,0,0,0,49,709,142,Jaelon Darden,North Texas,C-USA
33,Sr.,WR,2,0,219,4,57,0,0,15,280,140,Austin Trammell,Rice,C-USA
34,Jr.,RB,8,868,247,0,0,0,0,138,1115,139,Javonte Williams,North Carolina,ACC
35,Fr.,RB,6,369,255,0,205,0,0,111,829,138,Jahmyr Gibbs,Georgia Tech,ACC
36,Jr.,RB,3,104,18,0,290,0,0,37,412,137,Jeremiah Knight,Akron,MAC
37,Sr.,WR,7,0,942,6,0,0,0,66,948,135,Marlon Williams,UCF,AAC
38,Jr.,RB,8,897,184,0,0,0,0,192,1081,135,Leddie Brown,West Virginia,Big 12
39,So.,RB,3,30,7,0,368,0,0,21,405,135,Lexington Joseph,FIU,C-USA
40,Sr.,RB,2,239,29,0,0,0,0,35,268,134,Deon McIntosh,Washington St.,Pac-12
41,Sr.,WR,6,2,759,0,42,0,0,60,803,134,DeVonta Smith,Alabama,SEC
42,Sr.,RB,1,112,20,0,0,0,0,24,132,132,Gary Brightwell,Arizona,Pac-12
42,Jr.,RB,3,285,34,0,77,0,0,69,396,132,Kobe Lewis,Central Mich.,MAC
44,So.,RB,7,817,99,0,0,0,0,144,916,131,Kevin Harris,South Carolina,SEC
45,Jr.,RB,4,318,205,0,0,0,0,85,523,131,Zander Horvath,Purdue,Big Ten
46,So.,RB,7,608,113,0,189,0,0,137,910,130,Jerrion Ealy,Ole Miss,SEC
47,Sr.,RB,6,75,224,22,453,0,0,68,774,129,Trestan Ebner,Baylor,Big 12
48,So.,RB,8,921,109,0,0,0,0,186,1030,129,Sincere McCormick,UTSA,C-USA
49,Jr.,WR,4,108,399,0,0,0,0,37,507,127,Khalil Shakir,Boise St.,Mountain West
50,Jr.,WR,3,0,318,0,62,0,0,25,380,127,Isaiah McKoy,Kent St.,MAC
51,Jr.,WR,5,12,557,13,39,0,0,34,621,124,Jaylen Waddle,Alabama,SEC
52,So.,RB,8,777,215,0,0,0,0,154,992,124,Kyren Williams,Notre Dame,ACC
53,Sr.,RB,3,336,35,0,0,0,0,49,371,124,Jake Funk,Maryland,Big Ten
54,Sr.,RB,4,481,8,0,0,0,0,63,489,122,D'vonte Price,FIU,C-USA
55,So.,RB,6,643,87,0,0,0,0,109,730,122,Isaiah Spiller,Texas A&M,SEC
56,Sr.,RB,1,91,0,0,29,0,0,11,120,120,Sean McGrew,Washington,Pac-12
57,Jr.,RB,8,822,127,0,0,0,0,149,949,119,Javian Hawkins,Louisville,ACC
58,Jr.,RB,7,744,82,0,0,0,0,154,826,118,Brenden Knox,Marshall,C-USA
59,So.,WR,7,0,822,0,0,0,0,41,822,117,Jaylon Robinson,UCF,AAC
60,Sr.,WR,4,0,432,37,0,0,0,32,469,117,Bailey Gaither,San Jose St.,Mountain West
61,Jr.,WR,3,142,139,39,28,0,0,27,348,116,Kalil Pimpleton,Central Mich.,MAC
62,Jr.,WR,6,14,647,27,0,0,0,44,688,115,Calvin Austin,Memphis,AAC
63,Sr.,WR,4,1,334,58,65,0,0,22,458,115,Bo Melton,Rutgers,Big Ten
63,Jr.,RB,8,290,128,0,498,0,0,78,916,115,Chris Smith,Louisiana,Sun Belt
65,Jr.,WR,4,21,123,0,312,0,0,39,456,114,Aron Cruickshank,Rutgers,Big Ten
66,Jr.,RB,3,255,59,0,27,0,0,52,341,114,Toa Taua,Nevada,Mountain West
67,So.,RB,4,375,79,0,0,0,0,71,454,114,Tyler  Goodson,Iowa,Big Ten
68,Jr.,RB,2,132,87,6,0,0,0,14,225,113,Travis Dye,Oregon,Pac-12
69,Fr.,RB,9,877,133,0,0,0,0,175,1010,112,Ulysses  Bentley IV,SMU,AAC
70,So.,QB,1,111,0,0,0,0,0,11,111,111,Jayden Daniels,Arizona St.,Pac-12
70,Sr.,RB,5,444,0,0,111,0,0,72,555,111,DeAndre Torrey,North Texas,C-USA
72,Sr.,RB,7,740,35,0,0,0,0,161,775,111,Spencer Brown,UAB,C-USA
73,So.,WR,7,68,357,47,298,0,0,67,770,110,Tyler Snead,East Carolina,AAC
73,So.,RB,3,262,68,0,0,0,0,47,330,110,Sean Tyler,Western Mich.,MAC
75,Sr.,RB,3,70,0,0,259,0,0,31,329,110,Bryson Denley,Bowling Green,MAC
75,Jr.,DB,3,1,0,32,296,0,0,17,329,110,Thomas Pannunzio,Colorado St.,Mountain West
77,Sr.,WR,2,0,218,0,0,0,0,16,218,109,Renard Bell,Washington St.,Pac-12
77,So.,WR,2,0,192,24,3,0,0,18,218,109,Dimitri Stanley,Colorado,Pac-12
