roomID,type,location,macQty,winQty,bwQty,colorQty,proColorQty,plotterQty,scanQty,Projection,DVD,VHS,CD
A001,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A002,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A003,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A004,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A005,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A006,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A007,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A308,Classroom,66 West 12th Street,0,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A309,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A310,Classroom,66 West 12th Street,0,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A311,Conference Room,66 West 12th Street,1,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE
A312,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A313,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A492,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A493,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A494,Conference Room,66 West 12th Street,0,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A495,Conference Room,66 West 12th Street,0,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
A496,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
A497,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
A498,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
A499,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
A500,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
A501,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
A502,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
A503,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
A504,Classroom,66 West 12th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
B002,Technology Lab,65 West 11th Street,11,0,1,0,0,0,0,FALSE,FALSE,FALSE,FALSE
B111,Classroom,65 West 11th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
B112,Classroom,65 West 11th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
B113,Classroom,65 West 11th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
B114,Conference Room,65 West 11th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
B115,Classroom,65 West 11th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
B210,Classroom,65 West 11th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
B211,Classroom,65 West 11th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
B212,Classroom,65 West 11th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
B213,Classroom,65 West 11th Street,1,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
