Banner ID,Banner Account Description,MyDay ID,MyDay Description,Related Revenue Category ID,Related Revenue Category,Related Spend Category ID,Related Spend Category,Related Expense Item
10045,Operating account BoA,1000,Cash,null,null,null,null,null
10051,Payroll account BoA,1000,Cash,null,null,null,null,null
10053,Disbursement account BoA,1000,Cash,null,null,null,null,null
10054,Student refund account BoA,1000,Cash,null,null,null,null,null
10056,Credit card account BoA,1000,Cash,null,null,null,null,null
10057,CAPS account BoA,1000,Cash,null,null,null,null,null
10061,Perkins account BoA,1000,Cash,null,null,null,null,null
10070,Perkins UMB USA,1000,Cash,null,null,null,null,null
10092,E-payables BoA,1000,Cash,null,null,null,null,null
10093,Direct Loan Account,1000,Cash,null,null,null,null,null
11000,Accounts receivable student,1100,Student accounts receivable,null,null,null,null,null
11020,Accounts receivable conversion,1101,Accounts receivable conversion,null,null,null,null,null
11100,Allow doubtful a/c's stdnt. rcvbl.,1102,Student receivable allowance,null,null,null,null,null
11200,Returned check receivable,1103,Student returned check receivable,null,null,null,null,null
11202,Contracts receivable,1104,Student contract receivable,null,null,null,null,null
11203,Returned check clearing,1105,Student returned check clearing,null,null,null,null,null
11204,Returned credit card clearing,1106,Student returned credit card clearing,null,null,null,null,null
11205,Student refunds receivable,1107,Student refunds receivable,null,null,null,null,null
11206,Loan proceed returns receivable,1108,Student loan proceed returns receivable,null,null,null,null,null
11207,Security dpst forfeiture receivable,1109,Student dormitory security deposit forfeiture receivable,null,null,null,null,null
11208,Admissions dpst. forfeiture recvbl.,1110,Student admission deposit forfeiture receivable,null,null,null,null,null
11210,Student refund ACH reject clearing,1111,Student Refund ACH reject clearing,null,null,null,null,null
11211,Agency Fund receivables,1503,Student Agency fund receivable,null,null,null,null,null
11212,Third party receivable,1112,Student third party receivable,null,null,null,null,null
11300,Gift grant and contract receivable,1500,Grants and contracts receivable,null,null,null,null,null
11400,Accounts receivable employees P/R,1501,Employee payroll receivable,null,null,null,null,null
11411,Accounts receivable: other,1502,Accounts receivable - other,null,null,null,null,null
11430,Accrued interest receivable,1402,Accrued interest receivable,null,null,null,null,null
11462,Concur personal expense receivable,1504,Concur personal expense receivable,null,null,SC058,Cash Advance,null
11463,Concur clearing,1505,Concur outstanding expense receivable,null,null,null,null,null
11470,Receivable clearing account,1506,Accounts receivable other clearing,null,null,null,null,null
11490,Interfund due to/from,1599,Interworktag Receivable,null,null,null,null,null
11540,Due from Paris,1508,Due from Paris,null,null,null,null,null
11610,Notes receivable employee,1509,Employee notes receivable,null,null,null,null,null
11700,Perkins allow dbtfl a/c stdnt loans,1200,Loans allowance Perkins,null,null,null,null,null
11710,Perkins funds advanced,1201,Funds advanced Perkins,null,null,null,null,null
11720,Perkins notes assigned,1202,Notes assigned Perkins,null,null,null,null,null
11730,Perkins prin cncl tch/miltry < 6/72,1203,Principal cancellation for Teaching/military Loans < 6/72- Perkins,null,null,null,null,null
11740,Perkins prin cncl bankruptcy,1204,Principal cancellation for bankruptcy Perkins,null,null,null,null,null
11750,Perkins prin cncl death & disablty,1205,Principal cancellation for death and disability Perkins,null,null,null,null,null
11760,Perkins prin cncl other,1206,Principal cancellation other Perkins,null,null,null,null,null
11770,Perkins principal collected,1207,Principal collected Perkins,null,null,null,null,null
11790,Perkins prin cncl volunteer service,1208,Principal cancellation volunteer service Perkins,null,null,null,null,null
11800,Perkins prin cncl chld/famly servce,1209,Principal cancellation child/family Intervention services Perkins,null,null,null,null,null
11801,Perkins prin cncl certain tchn sub,1210,Principal cancellation certain teaching subject matter - Perkins,null,null,null,null,null
11802,Perkins prin cncl other auth tch,1211,Principal cancellation other authorized teaching Perkins,null,null,null,null,null
11803,Perkins prin cncl law/corr off svc,1212,Principal cancellation law/correction office services Perkins,null,null,null,null,null
11804,Perkins prin cnc nurse/med tech svc,1213,Principal cancellation nurse/medical technical service Perkins,null,null,null,null,null
11810,Cost of principle assigned/accepted,1214,Cost of principle assigned/accepted Perkins,null,null,null,null,null
12000,Accumulated amort bond issue costs,2403,Debt accumulated amortization,null,null,null,null,null
12010,Deferred closing cost,2404,Debt deferred closing cost,null,null,null,null,null
12020,Deferred compensation plan 457(b),1510,Deferred compensation plan 457(b) receivable,null,null,null,null,null
12030,Deferred compensation plan 457(f),1511,Deferred compensation plan 457(f) receivable,null,null,null,null,null
12110,Prepaid expenses other,1512,Prepaid expenses other,null,null,null,null,null
12140,Prepaid legal expense,1513,Prepaid legal expense,null,null,null,null,null
12190,Prepaid insurance,1514,Prepaid insurance expense,null,null,null,null,null
12210,Security deposits,1515,Security deposits,null,null,null,null,null
12220,Suspense,1506,Accounts receivable other clearing ,null,null,null,null,null
12250,Marketplace clearing,1516,Marketplace clearing,null,null,null,null,null
13000,Pledges receivable,1300,Pledges receivable,null,null,null,null,null
13100,Allowance for doubtful pledge rec.,1301,Pledge receivable allowance,null,null,null,null,null
13200,Pledge discount to present value,1302,Pledge receivable discount,null,null,null,null,null
14000,Canyon Capital,1400,Investments,null,null,null,null,null
14010,Rim Rock,1400,Investments,null,null,null,null,null
14020,Goldman Sachs Strategic,1400,Investments,null,null,null,null,null
14025,Blue Orchid Select Ltd. - Series 1,1400,Investments,null,null,null,null,null
14030,Fund Services Cayman/Summerhaven,1400,Investments,null,null,null,null,null
14040,Fir Tree Special Opportunities,1400,Investments,null,null,null,null,null
14060,WHI Real Estate Partners III,1400,Investments,null,null,null,null,null
14080,Brookfield Global,1400,Investments,null,null,null,null,null
14090,Sales Force COM,1400,Investments,null,null,null,null,null
14111,Emerging Soverign CBE,1400,Investments,null,null,null,null,null
14112,Valinor Capital Partners,1400,Investments,null,null,null,null,null
14113,Eaton Vance- Emerging Markets,1400,Investments,null,null,null,null,null
14114,Wisdomtree JPN HDGD EQTY,1400,Investments,null,null,null,null,null
14115,Institutional Venture Partners,1400,Investments,null,null,null,null,null
14116,OptionsXpress,1400,Investments,null,null,null,null,null
14120,The Children Investment fund,1400,Investments,null,null,null,null,null
14122,FMIINTL FD,1400,Investments,null,null,null,null,null
14130,Aleutian Fund LTD,1400,Investments,null,null,null,null,null
14140,Vanguard Investment Grade Fund,1400,Investments,null,null,null,null,null
14150,DHI Group Inc,1400,Investments,null,null,null,null,null
14191,Charles Schwab Mannes Building,1400,Investments,null,null,null,null,null
14196,Charles Schwab Restricted Funds,1400,Investments,null,null,null,null,null
14197,Golub Capital,1400,Investments,null,null,null,null,null
14199,Merrill Lynch Endowment Money Marke,1400,Investments,null,null,null,null,null
14231,Greenhaven Wells Fargo,1400,Investments,null,null,null,null,null
14232,Loomis Sayles Funds,1400,Investments,null,null,null,null,null
14233,Northern Trust Pentwater,1400,Investments,null,null,null,null,null
14234,Wellington CTF Global,1400,Investments,null,null,null,null,null
14235,Harbor International Schwab,1400,Investments,null,null,null,null,null
14236,Wells Fargo Kennedy Capital,1400,Investments,null,null,null,null,null
14239,Schwab Gold Trust Spdr,1400,Investments,null,null,null,null,null
14240,Schwab Vanquard Short Term Bond,1400,Investments,null,null,null,null,null
14242,Quadrangle Capital Partners II LP,1400,Investments,null,null,null,null,null
14246,Lehman Brothers REPP II,1400,Investments,null,null,null,null,null
14247,American Securities,1400,Investments,null,null,null,null,null
