Banner Fund,Banner Fund Description,Worktag Type,MyDay ID,MyDay Description,"Related Fund
(expense)","Related Fund Description
(expense)","Related Fund
(revenue)","Related Fund Description
(revenue)","Related
Cost Center","Related
Cost Center Description",Related Program Code,Related Program Code Description
11000,Unrestricted operating fund,Fund,FN01,Unrestricted operating fund,FN01,Unrestricted operating fund,FN01,Unrestricted operating fund,null, ,null, 
12000,New School university Annual Fund,Gift,GF12000,New School University Annual Fund,FN01,Unrestricted operating fund,FN01,Unrestricted operating fund,null, ,PG3700,Academic Support
12010,Mannes Annual Fund,Gift,GF12010,Mannes Annual Fund,FN01,Unrestricted operating fund,FN01,Unrestricted operating fund,CC45060,Development - Mannes,PG3700,Academic Support
12200,Funds Designated for Building - Unr,Gift,GF12200,Funds Designated for Building - Unr,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC80200,General Institutional Activity,null, 
12210,Anonymous Building Grant,Gift,GF12210,Anonymous Building Grant,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC80200,General Institutional Activity,null, 
14000,Indirect Cost Recovery - General,Grant,GR14000,Indirect Cost Recovery - General,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC80608,Indirect Cost Recovery,null, 
14502,Prvt Grnt Indirect Cst Recov NSSR,Grant,GR14502,Prvt Grnt Indirect Cst Recov NSSR,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC20404,Philosophy NSSR,null, 
18000,Dean's Discretionary PS,Gift,GF18000,Dean's Discretionary PS,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC10040,Academic Facilities Resources PS,PG3700,Academic Support
18013,Indirect Cost Recovery Fund - PS,Grant,GR18013,Indirect Cost Recovery Fund - PS,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC10040,Academic Facilities Resources PS,PG3008,Instruction
18150,Dean's Discretionary NSSR,Gift,GF18150,Dean's Discretionary NSSR,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC20400,Student Funding NSSR,PG3700,Academic Support
18159,Indirect Cost Recovery - NSSR,Grant,GR18159,Indirect Cost Recovery - NSSR,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC25003,IDCR - NSSR,null, 
18300,Dean's Discretionary LC,Gift,GF18300,Dean's Discretionary LC,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC25350,Civic Engagement; LC,PG3700,Academic Support
18301,Prvt Grnt Indirect Cst Recovery LC,Grant,GR18301,Prvt Grnt Indirect Cst Recovery LC,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC25001,Dean's Office & General Exp. LC,null, 
18302,Indirect Cost Recovery Funds_Lang,Grant,GR18302,Indirect Cost Recovery Funds_Lang,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC25280,Dept. Admin. General Arts LC,PG3008,Instruction
18340,Dean's Discretionary NSPE,Gift,GF18340,Dean's Discretionary NSPE,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC15001,Dean's Office - Executive,PG3700,Academic Support
18341,Dean's Discretionary SMS; NSPE,Gift,GF18341,Dean's Discretionary SMS; NSPE,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC15430,Dean's Office - Media Studies,PG3700,Academic Support
18342,Dean's Discretionary SOW; NSPE,Gift,GF18342,Dean's Discretionary SOW; NSPE,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC15400,Dean's Office - Writing,PG3700,Academic Support
18343,Dean's Discretionary SOL; NSPE,Gift,GF18343,Dean's Discretionary SOL; NSPE,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC15290,English Language Studies Dept. Admin,PG3700,Academic Support
18344,Dean's Discretionary SUS; NSPE,Gift,GF18344,Dean's Discretionary SUS; NSPE,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC15200,Dean's Office - SUS,PG3700,Academic Support
18345,Indirect Cost Recovery - NSPE,Grant,GR18345,Indirect Cost Recovery - NSPE,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC15002,IDCR - SPE,PG3008,Instruction
18400,Dean's Discretionary MM,Gift,GF18400,Dean's Discretionary MM,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC40001,Dean's Office - Milano,PG3700,Academic Support
18450,Dean's Discretionary MA,Gift,GF18450,Dean's Discretionary MA,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,null, ,PG3700,Academic Support
18456,"New School Concert
 (fund to replace 20300 via JV activity)",Grant,GR18456,"New School Concert
 (fund to replace 20300 via JV activity)",FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC45390,New School Concerts,PG3008,Instruction
18480,Dean's Discretionary DR,Gift,GF18480,Dean's Discretionary DR,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,null, ,PG3700,Academic Support
18490,Dean's Discretionary JZ,Gift,GF18490,Dean's Discretionary JZ,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC55060,Development - Jazz,PG3700,Academic Support
18600,New Initiative Income,Gift,GF18600,New Initiative Income,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC72295,Global Initiatives; Paris,PG3700,Academic Support
18800,Pres Strategic Academic Initiative,Gift,GF18800,Pres Strategic Academic Initiative,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC72306,Pres. Strategic Academic Initiative,PG3852,Sponsored Non-Research
18802,Indirect Cost Recovery Fund_Provost,Grant,GR18802,Indirect Cost Recovery Fund_Provost,FN01,Unrestricted operating fund,FN04,Indirect cost recovery,CC72200,Provost's Office,PG3008,Instruction
19000,FS UR gift transfer,Gift,GF19000,FS UR gift transfer,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC95001,Financial Statement Reporting,null, 
19001,FS UR grants & contracts transfer,Grant,GR19001,FS UR grants & contracts transfer,FN01,Unrestricted operating fund,FN03,Unrestricted discretionary fund,CC95001,Financial Statement Reporting,null, 
19002,FS UR endowment spending,Gift,GF19002,FS UR endowment spending,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC95001,Financial Statement Reporting,null, 
20002,Federal Work-Study Program,Grant,GR20002,Federal Work-Study Program,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC88820,Financial Aid,PG3802,Student Services
20022,Federal SEOG Program,Grant,GR20022,Federal SEOG Program,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC88820,Financial Aid,PG3802,Student Services
20032,Federal ACG Program,Grant,GR20032,Federal ACG Program,FN01,Unrestricted operating fund,FN01,Unrestricted operating fund,CC88820,Financial Aid,PG3802,Student Services
20042,Federal Pell Grant Program,Grant,GR20042,Federal Pell Grant Program,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC88820,Financial Aid,PG3802,Student Services
20108,Birth to Three_Yeshiva_NIH,Grant,GR20108,Birth to Three_Yeshiva_NIH,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20406,Psychology NSSR,PG3850,Sponsored Research & Programs
20204,Blunted & Discordant Affect_UPitt,Grant,GR20204,Blunted & Discordant Affect_UPitt,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20406,Psychology NSSR,PG3850,Sponsored Research & Programs
20300,New School Concerts,Grant,GR20300,New School Concerts,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC45390,New School Concerts,PG3008,Instruction
20311,AIDS Quilt Touch_NEH,Grant,GR20311,AIDS Quilt Touch_NEH,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC15430,Dean's Office - Media Studies,PG3850,Sponsored Research & Programs
20312,Digital Memorializations-NEH,Grant,GR20312,Digital Memorializations-NEH,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC15430,Dean's Office - Media Studies,PG3852,Sponsored Non-Research
20313,NYSOS FY16 NEA Award_MA,Grant,GR20313,NYSOS FY16 NEA Award_MA,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC45390,New School Concerts,PG3852,Sponsored Non-Research
20314,Everybody Comes to Rick's_NEH_LC,Grant,GR20314,Everybody Comes to Rick's_NEH_LC,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC25120,General Student Activities LC,PG3850,Sponsored Research & Programs
20315,HAL History of Punishment(WT) NEH,Grant,GR20315,HAL History of Punishment(WT) NEH,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC15200,Dean's Office - SUS,PG3852,Sponsored Non-Research
20316,NEH Enduring Ques Course in Incarce,Grant,GR20316,NEH Enduring Questions Course on Incarceration,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC15385,History,PG3852,Sponsored Non-Research
20425,Grad Research Fellowship Prog_NSF,Grant,GR20425,Grad Research Fellowship Prog_NSF,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20401,Anthropology NSSR,PG3850,Sponsored Research & Programs
20428,Culture;Psy Dist & Moral_NSF_NSSR,Grant,GR20428,Culture;Psy Dist & Moral_NSF_NSSR,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20503,Psychology Research NSSR,PG3850,Sponsored Research & Programs
20440,DDR: The Unsteady Earth_NSF,Grant,GR20440,DDR: The Unsteady Earth_NSF,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20401,Anthropology NSSR,PG3850,Sponsored Research & Programs
20442,DDR:Imitation vc Innovation_NSF,Grant,GR20442,DDR:Imitation vc Innovation_NSF,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20401,Anthropology NSSR,PG3850,Sponsored Research & Programs
20443,DDR in Economics_NSF_NSSR,Grant,GR20443,DDR in Economics_NSF_NSSR,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20402,Economics NSSR,PG3850,Sponsored Research & Programs
20445,DDR:Deriv States_NSF,Grant,GR20445,DDR:Deriv States_NSF,FN01,Unrestricted operating fund,FN07,Grant fund - Federal,CC20401,Anthropology NSSR,PG3850,Sponsored Research & Programs
