SERVER_NAME,SERVER_STATUS
bandb01-lip.newschool.edu,UP
dwweb01-lip.newschool.edu,DOWN
lum5prod-db01-lip.newschool.edu,UP
banrep01-lip.newschool.edu,UP
coursedb01-lip.newschool.edu,UP
coursedb02-lip.newschool.edu,UP
nodejs02-lit.newschool.edu,UP
lum5prod-web02-lip.newschool.edu,UP
lum5prod-web03-lip.newschool.edu,UP
lum5prod-web04-lip.newschool.edu,UP
banss04.newschool.edu,DOWN
banweb01-lip.newschool.edu,UP
banself01-lip.newschool.edu,UP
degreeaudit.newschool.edu,DOWN
mydata.newschool.edu,DOWN
data.newschool.edu,UP
