county,vets
"Los Angeles, CA",144937
"San Diego, CA",99345
"Cook, IL",96463
"Maricopa, AZ",93671
"Harris, TX",76081
"Orange, CA",63024
"Bexar, TX",60076
"King, WA",57417
"Clark, NV",54134
"Wayne, MI",51087
"Dallas, TX",49623
"San Bernardino, CA",48850
"Tarrant, TX",47582
"Fairfax, VA",43341
"Sacramento, CA",43202
"Riverside, CA",42630
"Pinellas, FL",37460
"Allegheny, PA",37208
"Pierce, WA",36887
"Suffolk, NY",36287
"Hillsborough, FL",35705
"Broward, FL",35550
"Santa Clara, CA",35236
"Cuyahoga, OH",34932
"Philadelphia, PA",34097
"Pima, AZ",33131
"Alameda, CA",33038
"Duval, FL",32979
"Middlesex, MA",31508
"Oakland, MI",30937
"St. Louis, MO",30763
"Hennepin, MN",30711
"Franklin, OH",30126
"El Paso, CO",29991
"Honolulu, HI",29291
"Orange, FL",28122
"Erie, NY",27623
"Miami-Dade, FL",26995
"Contra Costa, CA",26648
"Shelby, TN",26504
"Nassau, NY",26450
"Prince George's, MD",26007
"Palm Beach, FL",25886
"Brevard, FL",25406
"Oklahoma, OK",24663
"Marion, IN",24562
"Snohomish, WA",24359
"Bernalillo, NM",23285
"Queens, NY",23255
"Macomb, MI",23108
"Virginia Beach, VA",22763
"Hamilton, OH",22619
"Travis, TX",22602
"Anne Arundel, MD",22498
"Ventura, CA",22476
"Kings, NY",22193
"Milwaukee, WI",21972
"Jefferson, KY",21953
"Hartford, CT",21778
"Multnomah, OR",21762
"Jefferson, CO",21150
"Baltimore, MD",21038
"Worcester, MA",20841
"New Haven, CT",20839
"DuPage, IL",20810
"Fulton, GA",20704
"Salt Lake, UT",20599
"Jackson, MO",20530
"Cobb, GA",20384
"Montgomery, PA",19805
"Arapahoe, CO",19637
"El Paso, TX",19612
"Montgomery, OH",19344
"Montgomery, MD",19311
"Jefferson, AL",19038
"Fairfield, CT",18821
"Essex, MA",18765
"Bucks, PA",18727
"Monroe, NY",18618
"Spokane, WA",18415
"Solano, CA",18304
"Kern, CA",18240
"Tulsa, OK",18222
"Mecklenburg, NC",18178
"Fresno, CA",18130
"Volusia, FL",17792
"Wake, NC",17060
"Escambia, FL",16869
"Polk, FL",16729
"DeKalb, GA",16670
"Gwinnett, GA",16655
"Bergen, NJ",16584
"Summit, OH",16554
"Monmouth, NJ",16472
"Lake, IL",15947
"Davidson, TN",15759
"New York, NY",15717
"Burlington, NJ",15675
"Baltimore city, MD",15673
"Ocean, NJ",15503
"Norfolk, MA",15456
"Westchester, NY",15278
"Delaware, PA",15211
"Sonoma, CA",15198
"Washoe, NV",15055
"Sedgwick, KS",15020
"San Mateo, CA",15019
"Middlesex, NJ",14983
"Plymouth, MA",14973
"Cumberland, NC",14813
"San Joaquin, CA",14804
"Denver, CO",14793
"Lee, FL",14696
"Douglas, NE",14610
"New Castle, DE",14597
"Collin, TX",14559
"Seminole, FL",14369
"Kitsap, WA",14318
"Pulaski, AR",14299
"Providence, RI",14240
"Prince William, VA",14239
"Okaloosa, FL",14216
"Johnson, KS",14135
"Kent, MI",14083
"Lake, IN",13970
"Hillsborough, NH",13921
"Clackamas, OR",13919
"Hampden, MA",13770
"Washington, OR",13745
"Bristol, MA",13712
"Ramsey, MN",13636
"Knox, TN",13602
"Will, IL",13600
"Bronx, NY",13468
"Denton, TX",13430
"Clark, WA",13284
"Genesee, MI",13270
"Mobile, AL",13239
"Richland, SC",13108
DISTRICT OF COLUMBIA,13103
District of Columbia,13103
"Camden, NJ",12900
"Westmoreland, PA",12881
"Pasco, FL",12847
"York, PA",12834
"Anchorage, AK",12801
"Lane, OR",12781
"Jefferson, LA",12627
"Chester, PA",12573
"Greenville, SC",12568
"Orleans, LA",12407
"San Francisco, CA",12237
"Guilford, NC",12121
"Charleston, SC",12044
"Madison, AL",12009
"Nueces, TX",11972
"Adams, CO",11951
"Lancaster, PA",11891
"Lucas, OH",11886
"Santa Barbara, CA",11825
"Onondaga, NY",11800
"Essex, NJ",11795
"Stark, OH",11766
"Monterey, CA",11763
"Dakota, MN",11509
"Thurston, WA",11509
"Ada, ID",11406
"Bell, TX",11305
"Anoka, MN",11067
"Morris, NJ",11057
"Waukesha, WI",11008
"Hamilton, TN",10941
"Dane, WI",10938
"Polk, IA",10900
"East Baton Rouge, LA",10762
"Stanislaus, CA",10691
"Berks, PA",10625
"New London, CT",10589
"Chesterfield, VA",10517
"Rockingham, NH",10508
"Luzerne, PA",10398
"Sarasota, FL",10345
"Marion, FL",10281
"Placer, CA",10235
"Marion, OR",10155
"Butler, OH",10137
"St. Clair, IL",10120
"St. Charles, MO",10110
"Lorain, OH",10068
"Montgomery, TX",10041
"Richmond, NY",9740
"Suffolk, MA",9667
"Chesapeake, VA",9638
"Allen, IN",9588
"Orange, NY",9519
"Cumberland, ME",9512
"Norfolk, VA",9323
"Muscogee, GA",9245
"Clay, FL",9241
"Madison, IL",9236
"Union, NJ",9220
"Harrison, MS",9145
"Galveston, TX",9104
"Kane, IL",9084
"Fort Bend, TX",9042
"Bay, FL",8991
"Forsyth, NC",8950
"Lehigh, PA",8934
"Erie, PA",8885
"San Luis Obispo, CA",8875
"Richmond, GA",8834
"Manatee, FL",8825
"Lexington, SC",8796
"Cleveland, OK",8739
"Williamson, TX",8658
"Harford, MD",8590
"Chatham, GA",8559
"Gloucester, NJ",8532
"Jackson, OR",8419
"Greene, MO",8370
"Montgomery, AL",8329
"Dutchess, NY",8326
"Lake, FL",8283
"St. Louis city, MO",8216
"Brazoria, TX",8206
"Larimer, CO",8192
"Dauphin, PA",8166
"Mercer, NJ",8146
"Trumbull, OH",8121
"Newport News, VA",8115
"Boulder, CO",8067
"McHenry, IL",8033
"Northampton, PA",8027
"Albany, NY",8013
"Cumberland, PA",7999
"Caddo, LA",7975
"Winnebago, IL",7954
"Horry, SC",7942
"York, ME",7899
"Spartanburg, SC",7877
"Mahoning, OH",7855
"Barnstable, MA",7854
"Yavapai, AZ",7826
"Tulare, CA",7813
"Berkeley, SC",7794
"Clayton, GA",7637
"Lake, OH",7629
"Santa Rosa, FL",7588
"Buncombe, NC",7582
"Niagara, NY",7562
"Hampton, VA",7555
"Passaic, NJ",7546
"Oneida, NY",7511
"Howard, MD",7483
"Henrico, VA",7479
"Washtenaw, MI",7470
"St. Louis, MN",7465
"Jefferson, MO",7444
"Fayette, KY",7441
"St. Joseph, IN",7416
"Marin, CA",7329
"St. Tammany, LA",7294
"Jefferson, TX",7278
"Santa Cruz, CA",7277
"Mohave, AZ",7242
"Kanawha, WV",7236
"Frederick, MD",7205
"Leon, FL",7168
"Lancaster, NE",7162
"Washington, MN",7112
"Shawnee, KS",7052
"Cochise, AZ",7030
"McLennan, TX",6959
"Davis, UT",6952
"Sarpy, NE",6924
"Houston, GA",6886
"Shasta, CA",6825
"Washington, PA",6817
"Butte, CA",6798
"Atlantic, NJ",6793
"Brown, WI",6781
"Clay, MO",6762
"Linn, IA",6752
"Greene, OH",6735
"Collier, FL",6727
"Hidalgo, TX",6717
"Lackawanna, PA",6715
"El Dorado, CA",6669
"Montgomery, TN",6660
"Saratoga, NY",6653
"Gaston, NC",6595
"Pinal, AZ",6560
"Ingham, MI",6533
"Comanche, OK",6517
"Kalamazoo, MI",6480
"Douglas, CO",6470
"Onslow, NC",6426
"Somerset, NJ",6393
"Hudson, NJ",6321
"Whatcom, WA",6255
"Sangamon, IL",6231
"Alachua, FL",6219
"Kent, DE",6212
"Hawaii, HI",6210
"Loudoun, VA",6127
"Clermont, OH",6124
"Yakima, WA",6120
"Anderson, SC",6115
"St. Lucie, FL",6107
"Jackson, MS",6105
"Kent, RI",6084
"Litchfield, CT",6047
"Weber, UT",6034
"Beaver, PA",6003
"Rutherford, TN",5994
"New Hanover, NC",5938
"Sussex, DE",5933
"Arlington, VA",5931
"Baldwin, AL",5920
"Lubbock, TX",5918
"Ottawa, MI",5912
"Hinds, MS",5911
"Clark, OH",5903
"Merced, CA",5826
"Saginaw, MI",5766
"Broome, NY",5728
"Dorchester, SC",5702
"Calcasieu, LA",5690
"Butler, PA",5673
"Benton, WA",5663
"Durham, NC",5655
"York, SC",5627
"Weld, CO",5615
"Sullivan, TN",5610
"St. Clair, MI",5551
"Penobscot, ME",5532
"Scott, IA",5512
"St. Johns, FL",5496
"Porter, IN",5474
"Hernando, FL",5472
"Wichita, TX",5469
"Licking, OH",5455
"Aiken, SC",5444
"Peoria, IL",5426
"Cameron, TX",5409
"Vanderburgh, IN",5408
"Osceola, FL",5388
"Citrus, FL",5369
"Muskegon, MI",5356
"Charles, MD",5352
"Rockland, NY",5348
"Middlesex, CT",5338
"Charlotte, FL",5338
"Racine, WI",5325
"Cambria, PA",5323
"Hardin, KY",5293
"Merrimack, NH",5233
"Richmond, VA",5210
"Carroll, MD",5176
"Bossier, LA",5174
"Smith, TX",5169
"Livingston, MI",5167
"Cherokee, GA",5129
"Dona Ana, NM",5128
"Pueblo, CO",5118
"Rock Island, IL",5106
"Calhoun, MI",5082
"Calhoun, AL",5032
"Stafford, VA",5025
"Utah, UT",5017
"Deschutes, OR",5016
"Fairfield, OH",5013
"Ulster, NY",5007
"Benton, AR",5006
"Douglas, OR",5005
"Jackson, MI",4997
"Monroe, MI",4960
"Columbia, GA",4959
"Guadalupe, TX",4941
"Monroe, PA",4927
"Medina, OH",4924
"Berrien, MI",4901
"Warren, OH",4881
"Schuylkill, PA",4868
"Winnebago, WI",4868
"Tuscaloosa, AL",4866
"Rapides, LA",4831
"Lafayette, LA",4827
"Bibb, GA",4777
"Fayette, PA",4756
"Rensselaer, NY",4752
"Humboldt, CA",4747
"Kenton, KY",4739
"Rock, WI",4737
"Washington, AR",4734
"Blair, PA",4734
"Yellowstone, MT",4732
"Chautauqua, NY",4727
"Beaufort, SC",4717
"Fayette, GA",4705
"Portage, OH",4692
"Mesa, CO",4685
"Kootenai, ID",4685
"Yuma, AZ",4668
"Washington, MD",4668
"Elkhart, IN",4662
"Kennebec, ME",4661
"Davidson, NC",4659
"Sussex, NJ",4643
"Santa Fe, NM",4588
"Wayne, NC",4585
"Alexandria, VA",4579
