Category,Software,Version,Windows PC Express Software,PC Standard 1,Windows PC Standard Software,PC Satellite Lab,Mac Express Software,Mac Help Kiosk Software,Mac Standard 1,Mac Standard Software,Mac Standard Software with Pro Tools,Mac Advanced Audio Software,Audio Suite Software,SatelliteLab
CAD,Autodesk AutoCAD,2017, ,X,X,X, , , , , , , , 
CAD,Autodesk Revit,2017, ,X,X,X, , , , , , , , 
CAD,SketchUp Pro,2016, ,X,X,X, , ,X,X,X,X,X,X
Plugin,SketchUp STL,2.1.6,,,X,,,,,,,,, 
Plugin,Vray for SketchUp,2.0 SP3,, ,X,X, , ,X ,X,X,X,X, 
Fashion,Kaledo  Print,V4R1sp13, ,X,X,X, , , , , , , , 
Fashion,Kaledo Knit,V4R1sp13, ,X,X,X, , , , , , , , 
Fashion,Kaledo  Style,V4R1sp13, ,X,X,X, , , , , , , , 
Fashion,Kaledo Weave,V4R1sp13, ,X,X,X, , , , , , , , 
Fashion,Modaris,V7R2sp7, ,X,X,X, , , , , , , , 
Fashion,Diamino ,V6R2sp6, ,X,X,X, , , , , , , , 
Fashion,OptiTex,12.3.176, ,X,X,X, , , , , , , , 
Internet Tools,FileZilla,3.18,X,X,X,X, , , , , , , , 
Internet Tools,Safari,9.1.2,,X,,X,X,X,X,X,X,X,X, 
Internet Tools,Fetch,5.7.5,,X,,X,X,X,X,X,X,X,X, 
Internet Tools,Google Earth Pro,7.1,X,X,X,X,X,X,X,X,X,X,X, 
Internet Tools,Firefox,47,X,X,X,X,X,X,X,X,X,X,X,
Internet Tools,Chrome,51,X,X,X,X,X,X,X,X,X,X,X,X
Plugin,QuickTime Plug-in,10.4,X,X,X,X,X,X,X,X,X,X,X,X
Plugin,Flash Player Plug-in,21,X,X,X,X,X,X,X,X,X,X,X,X
Plugin,Shockwave Plug-in,12.2.4,X,X,X,X,X,X,X,X,X,X,X,X
Plugin,Silverlight Plug-in,5.1.4,X,X,X,X,X,X,X,X,X,X,X,X
Plugin,AIR Plug-in,21,X,X,X,X,X,X,X,X,X,X,X,X
Plugin,Musicnotes ,1.19,X,X,X,X,X,X,X,X,X,X,X,X
Media Players,QuickTime Player,10.4,X,X,X,X,X,X,X,X,X,X,X,X
Media Players,iTunes,12.4.1,X,X,X,X,X,X,X,X,X,X,X,X
Media Players,VLC media player ,2.2.4,X,X,X,X,X,X,X,X,X,X,X,X
Media Players,Flip4Mac,2.4.4, , , , ,X,X,X,X,X,X,X,X
Microsoft Office,Microsoft Office,Win 2016 Mac 2016,X,X,X,X,X,X,X,X,X,X,,X
Microsoft Office,Microsoft Word,Win 2016 Mac 15.24,X,X,X,X,X,X,X,X,X,X,,X
Plugin,ProQuest,4.4.1298,X,X,X,X,X,X,X,X,X,X,,X
Microsoft Office,Microsoft Excel,Win 2016 Mac 15.24,X,X,X,X,X,X,X,X,X,X,,X
Microsoft Office,Microsoft Power Point,Win 2016 Mac 15.24,X,X,X,X,X,X,X,X,X,X,,X
Microsoft Office,Microsoft Access,Win 2016,X,X,X,X, , , , , , ,,X
Plugin,Microsoft Visio Viewer,Win 2016,X,X,X,X, , , , , , ,,X
Modeling and Animation,AGI32,17.2, , ,X,X, , , , , , , ,X
Modeling and Animation,Autodesk 3ds Max,2017, , ,X, , , , , , , , ,X
Modeling and Animation,Autodesk Maya ,2016, , ,X,X, , , , , , , ,X
Modeling and Animation,Autodesk Motion Builder,2016, , ,X,X, , , , , , , ,X
Modeling and Animation,Autodesk Mudbox,2016, , ,X,X, , , , , , , ,X
Modeling and Animation,DesignBuilder,4.7,,,X,X,,,,,,,,X
Modeling and Animation,SolidWorks,2016-2017, , ,X,X, , , , , , , ,X
Modeling and Animation,Zprint,7.10.3-7, , ,X,X, , , , , , , ,X
Modeling and Animation,ZEdit,3.21, , ,X,X, , , , , , , ,X
Modeling and Animation,Rhino3D,5 SR13, , ,X,X, , , , , , , , 
Plugin,Flamingo ,nXt 5, , ,X,X, , , , , , , ,X
Plugin,Penguin,2.0 SR4, , ,X,X, , , , , , , ,
Plugin,Bongo,2.0 SR5, , ,X,X, , , , , , , ,
Plugin,Vray for Rhino,2.0 SP2, , ,X,X, , , , , , , , 
Plugin,Paneling Tools for Rhino,2014.12.17.01, , ,X,X, , , , , , , , 
Plugin,Grasshopper for Rhino,0.9.76.0, , ,X,X, , , , , , , , 
Plugin,Neon for Rhino,1.0_20130823,,,X,,,,,,,,, 
Multimedia,Adobe Acrobat Professional,DC (2015.016.20045),X,X,X,X,X,X,X,X,X,X,X, 
Multimedia,Adobe Acrobat Distiller,DC (15.16.20045188096),X,X,X,X,X,X,X,X,X,X,X, 
Multimedia,Adobe After Effects,CC 2015, ,X,X,X, , ,X,X,X,X,X, 
Multimedia,Adobe Audition,CC 2015,,X,X,X,,,X,X,X,X,X,X
Multimedia,Adobe Bridge,CC 2015, ,X,X,X, , ,X,X,X,X,X,X
Multimedia,Adobe Character Animator,CC 2015, ,X,X,X, , ,X,X,X,X,X,X
Multimedia,Adobe Digital Editions,4.5.1,,X,X,X,,,X,X,X,X,X,X
Multimedia,Adobe DNG Converter,9.6, ,X,X,X, , ,X,X,X,X,X, 
Multimedia,Adobe Dreamweaver ,CC 2015, ,X,X,X, , ,X,X,X,X,X, 
