Type	Building	Room	OS	PCs	Macs	Software	Presentation	Ext.	SupportContact	Specialty	Hours	"Enter value ""1"" to add entry to ""Media Services Spaces"" Worksheet.  Leave blank to omit."	"Enter value ""1"" to add entry to ""Technology Lab Spaces""  Leave blank to omit."	"Enter value ""1"" to add entry to ""Classroom Technology"" worksheet.  Leave blank to omit."	blg	PCQty	MacQty
Classroom	A	1	Mac & Windows PC	0	1	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A4 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	2	Mac & Windows PC	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Event Space	A	1	SVGA Only	0	0				 Media Services 212.229.5300 x2310			1			A		
Classroom	A	306	SVGA Only	0	0		"DVD, VHS (B1 type)"		Media Services 212.229.5300 x2310		Today's Classroom Schedule			1	A		
Classroom	A	403	SVGA Only	0	0		"DVD, VHS (B4 type)"		Media Services 212.229.5300 x2310		Today's Classroom Schedule			1	A		
Classroom	A	404	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		Help	 	Today's Classroom Schedule			1	A		
Classroom	A	405	SVGA Only	0	0		"DVD, VHS (B4 type)"		Media Services 212.229.5300 x2310		Today's Classroom Schedule			1	A		
Classroom	A	406	Mac	0	1	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector, Document Camera, Video Conferencing (A4 type)"		Media Services 212.229.5300 x2310 *(Video conferencing requires advanced coordination with the Lang Dean's Office)		Today's Classroom Schedule	1		1	A		
Classroom	A	407	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		Media Services 212.229.5300 x2310		Today's Classroom Schedule			1	A		
Classroom	A	410	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	501	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	502	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	509	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Event Space	A	510	SVGA Only	0	0		"DVD, VHS"		Media Services 212.229.5300 x2310			1			A		
Classroom	A	513	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	517	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	518	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	601	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	602	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	615	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	617	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	618	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	701	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	702	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Event Space	A	712	SVGA Only	0	0				IT Service Desk 212.229.5300 x4357			1			A		
Experimental Classroom	A	713	Mac	0	1	Mac Standard Software	"Blu-ray & DVD from PC, Document Camera, Stream & Capture device"		Media Services 212.229.5300 x2310		Today's Classroom Schedule			1	A		
Classroom	A	715	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Classroom	A	716	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A		
Conference Room	A	801	Mac (Mac & Windows PC OS)	0	1	Mac & Windows PC Standard Software	"Blu-ray, DVD, Aux HDMI & DVI connection, HD Projector, 2x 65"" LCD, Document Camera, Video Conferencing*"		Media Services 212.229.5300 x2310		Contact Provost's Office to schedule	1			A		
