Type	Building	Room	OS	PCs	Macs	Software	Presentation	Ext.	SupportContact	Specialty	Hours	"Enter value ""1"" to add entry to ""Media Services Spaces"" Worksheet.  Leave blank to omit."	"Enter value ""1"" to add entry to ""Technology Lab Spaces""  Leave blank to omit."	"Enter value ""1"" to add entry to ""Classroom Technology"" worksheet.  Leave blank to omit."	blg	PCQty	MacQty	locationCount	bldgAddress	bldgName
Classroom	A	1	Mac & Windows PC	0	1	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector (A4 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			1	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	2	Mac & Windows PC	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			2	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Event Space	A	1	SVGA Only	0	0				 Media Services 212.229.5300 x2310			1			A			3	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	306	SVGA Only	0	0		"DVD, VHS (B1 type)"		Media Services 212.229.5300 x2310		Today's Classroom Schedule			1	A			4	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	403	SVGA Only	0	0		"DVD, VHS (B4 type)"		Media Services 212.229.5300 x2310		Today's Classroom Schedule			1	A			5	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	404	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		Help	 	Today's Classroom Schedule			1	A			6	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	405	SVGA Only	0	0		"DVD, VHS (B4 type)"		Media Services 212.229.5300 x2310		Today's Classroom Schedule			1	A			7	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	406	Mac	0	1	Mac Standard Software	"Blu-ray, DVD, VHS, Aux HDMI & DVI connection, HD Projector, Document Camera, Video Conferencing (A4 type)"		Media Services 212.229.5300 x2310 *(Video conferencing requires advanced coordination with the Lang Dean's Office)		Today's Classroom Schedule	1		1	A			8	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	407	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		Media Services 212.229.5300 x2310		Today's Classroom Schedule			1	A			9	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	410	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			10	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	501	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			11	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	502	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			12	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	509	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			13	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Event Space	A	510	SVGA Only	0	0		"DVD, VHS"		Media Services 212.229.5300 x2310			1			A			14	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
Classroom	A	513	Mac	0	1	Mac Standard Software	"DVD, VHS (B1 type)"		IT Service Desk 212.229.5300 x4357		Today's Classroom Schedule			1	A			15	66 West 12th Street	ALVIN JOHNSON/J.M. KAPLAN HALL
