Software,Version
Autodesk AutoCAD,2016
Autodesk Revit,2016
SketchUp Pro,2015
Kaledo  Print,V4R1sp6
Kaledo Knit,V4R1sp6
Kaledo  Style,V4R1sp6
Kaledo Weave,V4R1sp6
Modaris,V7R2sp7
Diamino ,V5R4sp4
OptiTex,12.3.147.0
Secure Shell Client ,3.2.9 
FileZilla,3.11
Putty,0.62
Internet Explorer,11
Safari,8.0.7
Fetch,5.7.5
Google Earth Pro,7.1
Firefox,38.0.5
Chrome,43
QuickTime Plug-in,7.7.6
Flash Player Plug-in,18
Shockwave Plug-in,12.1.8
Silverlight Plug-in,5.1.4
AIR Plug-in,18
Musicnotes ,1.19
QuickTime Player,7.7.6
iTunes,12.2
DivX Bundle,10.3
VLC media player ,2.2.1
Windows Media Player ,12
Microsoft Office,"Win 2013
Mac 2011"
Microsoft Word,"Win 2013
Mac 14.4.2"
ProQuest (Write-N-Cite),4.4.1298
Microsoft Excel,"Win 2013
Mac 14.4.2"
Microsoft Power Point,"Win 2013
Mac 14.4.2"
Microsoft Access,"Win 2013

"
Microsoft Visio Viewer,"Win 2013

"
Adobe Acrobat Professional,DC (15.007)
Adobe Acrobat Distiller,DC (15.007)
Adobe After Effects,CC 2015
Adobe Audition,CC 2015
Adobe Bridge,CC 2015
Adobe Character Animator,CC 2015
Adobe Digital Editions,4.0.3
Adobe DNG Converter,9.1
Adobe Dreamweaver ,CC 2015
Adobe Edge Animate,CC 2015
Adobe Edge Code,CC 2015
Adobe Edge Reflow,CC 2015
Adobe ExtendScript Toolkit,CC 2015
Adobe Extension Manager,CC 2015
 Adobe Fireworks,CS6
 Adobe Flash Builder,4.7
Adobe Flash Professional,CC 2015
Adobe Illustrator,CC 2015
Adobe InCopy,CC 2015
Adobe InDesign ,CC 2015
Adobe Lightroom,6
Adobe Media Encoder,CC 2015
Adobe Muse ,CC 2015
Adobe Photoshop,CC 2015
Adobe Prelude,CC 2015
 Adobe Premiere Pro,CC 2015
Adobe Scout,CC 2015
Adobe Speedgrade,CC 2015
Universal Type Client ,5
Final Draft,9.0.7
Windows Essentials Movie Maker,2012
Windows Essentials Photo Gallery,2012
Audacity ,2.1.0
MPEG Streamclip,1.9.2 / 1.2
Finale Notepad ,2012
Java SE Development Kit,8u51
Processing,2.2.1
Arduino + USB board driver for Mac,1.6.5
Second Life Viewer,3.8.0.302622
Ploopp SL,0.6
"ArcGIS ArcInfo
with the following extension
 - 3D Analyst
 - ArcScan
 - Geostatistical Analysis
 - Network Analyst
 - Publisher
 - Schematics
 - Spatial Analyst
 - Tracking Analyst
",10.3.1
ArcCatalog,10.3.1
ArcGlobe,10.3.1
ArcMap,10.3.1
ArcReader,10.3.1
ArcScene,10.3.1
"
ArcGIS Editor for Open Street Map",10.3.1
CityEngine,10.3.1
Eviews,9
SAS,9.4
SPSS,23
Mathematica,10.2
Stata SE,14
Matlab,R2015a
Qualtrics,Online
Online Sheet Music,Win 8.3.4.0 / Mac 1.5.15b
Luna insight (Now Digital Media Collection),Online
Artstor (Weblink),Online
Artstor Offline Viewer,3.1 Win / 4.0 Mac
Fashion Snoops,Online
"Information Technology

",N/A
Alvin ,N/A
FAQ ,N/A
Library Resources ,N/A
NewSchool Gmail,N/A
Look up your NetID or Reset your Password,N/A
LyndaCampus,N/A
My New School,N/A
The New School,N/A
Report a Problem,N/A
CDBurnerXP,4.5.5
7-Zip,9.2
Notepad,6.1
Command Prompt,6.1
Paint,6.1
WordPad,6.1
Volume,6.1
Windows Explorer,6.1
EndPoint Protection,12.1.6
VMWare Horizon Client,3.4.0
Drop Box,N/A
Manuals and Resources,N/A
Secure Drop Box,N/A
