Category,Software,Version,Windows PC Express Software,PC Standard,Windows PC Standard Software,"PC Satellite Lab
(Satellite Facilities)",Mac Express Software,Mac Help Kiosk Software,Mac Standard 1,Mac Standard Software,Mac Standard Software + Pro Tools,Mac Advanced Audio Software,Audio Suite Software,Satellite Lab
CAD,Autodesk AutoCAD,2016,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CAD,Autodesk Revit,2016,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CAD,SketchUp Pro,2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes
N/A in Start Menu - Plugin for SketchUp,SketchUp STL,2.1.5,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
N/A in Start Menu - Plugin for SketchUp,Vray for SketchUp,2.0 SP3,Not Available,Not Available,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
"Fashion
",Kaledo Print,V4R1sp6,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Fashion
",Kaledo Knit,V4R1sp6,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Fashion
",Kaledo Style,V4R1sp6,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Fashion
",Kaledo Weave,V4R1sp6,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Fashion
",Modaris,V7R2sp7,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
