Area_name,FIPS,Rent90
UNITED STATES,00000,5935049
ALABAMA,01000,67163
"Autauga, AL",01001,320
"Baldwin, AL",01003,1206
"Barbour, AL",01005,198
"Bibb, AL",01007,97
"Blount, AL",01009,140
"Bullock, AL",01011,11
"Butler, AL",01013,67
"Calhoun, AL",01015,1627
"Chambers, AL",01017,314
"Cherokee, AL",01019,50
"Chilton, AL",01021,205
"Choctaw, AL",01023,44
"Clarke, AL",01025,111
"Clay, AL",01027,6
"Cleburne, AL",01029,51
"Coffee, AL",01031,620
"Colbert, AL",01033,665
"Conecuh, AL",01035,40
"Coosa, AL",01037,10
"Covington, AL",01039,163
"Crenshaw, AL",01041,25
"Cullman, AL",01043,380
"Dale, AL",01045,1240
"Dallas, AL",01047,484
"DeKalb, AL",01049,330
"Elmore, AL",01051,359
"Escambia, AL",01053,244
"Etowah, AL",01055,1049
"Fayette, AL",01057,58
"Franklin, AL",01059,105
"Geneva, AL",01061,99
"Greene, AL",01063,37
"Hale, AL",01065,29
"Henry, AL",01067,53
"Houston, AL",01069,1415
"Jackson, AL",01071,345
"Jefferson, AL",01073,17778
"Lamar, AL",01075,46
"Lauderdale, AL",01077,1149
"Lawrence, AL",01079,73
"Lee, AL",01081,2175
"Limestone, AL",01083,678
"Lowndes, AL",01085,40
"Macon, AL",01087,232
"Madison, AL",01089,7838
"Marengo, AL",01091,88
"Marion, AL",01093,127
"Marshall, AL",01095,669
"Mobile, AL",01097,6826
"Monroe, AL",01099,169
"Montgomery, AL",01101,6360
"Morgan, AL",01103,1711
"Perry, AL",01105,24
"Pickens, AL",01107,26
"Pike, AL",01109,151
"Randolph, AL",01111,74
"Russell, AL",01113,910
"St. Clair, AL",01115,291
"Shelby, AL",01117,2143
"Sumter, AL",01119,59
"Talladega, AL",01121,513
"Tallapoosa, AL",01123,236
"Tuscaloosa, AL",01125,3963
"Walker, AL",01127,457
"Washington, AL",01129,47
"Wilcox, AL",01131,28
"Winston, AL",01133,85
ALASKA,02000,12937
"Aleutians East, AK",02013,8
"Aleutians West, AK",02016,125
"Anchorage, AK",02020,7357
"Bethel, AK",02050,134
"Bristol Bay, AK",02060,28
"Denali, AK",02068,0
"Dillingham, AK",02070,43
"Fairbanks North Star, AK",02090,1740
"Haines, AK",02100,54
"Hoonah-Angoon, AK",02105,86
"Juneau, AK",02110,432
"Kenai Peninsula, AK",02122,853
"Ketchikan Gateway, AK",02130,274
"Kodiak Island, AK",02150,272
"Lake and Peninsula, AK",02164,9
"Matanuska-Susitna, AK",02170,685
"Nome, AK",02180,70
"North Slope, AK",02185,80
"Northwest Arctic, AK",02188,46
"Petersburg, AK",02195,104
"Prince of Wales-Hyder, AK",02198,93
"Sitka, AK",02220,163
"Skagway, AK",02230,0
"Southeast Fairbanks, AK",02240,63
"Valdez-Cordova, AK",02261,104
"Wade Hampton, AK",02270,16
"Wrangell, AK",02275,0
"Yakutat, AK",02282,0
"Yukon-Koyukuk, AK",02290,98
ARIZONA,04000,113069
"Apache, AZ",04001,322
"Cochise, AZ",04003,1941
"Coconino, AZ",04005,2429
"Gila, AZ",04007,493
"Graham, AZ",04009,237
"Greenlee, AZ",04011,27
"La Paz, AZ",04012,274
"Maricopa, AZ",04013,75641
"Mohave, AZ",04015,2457
"Navajo, AZ",04017,674
"Pima, AZ",04019,20721
"Pinal, AZ",04021,2348
"Santa Cruz, AZ",04023,794
"Yavapai, AZ",04025,2517
"Yuma, AZ",04027,2194
ARKANSAS,05000,39310
"Arkansas, AR",05001,227
"Ashley, AR",05003,194
"Baxter, AR",05005,450
"Benton, AR",05007,2051
"Boone, AR",05009,441
"Bradley, AR",05011,33
"Calhoun, AR",05013,40
"Carroll, AR",05015,174
"Chicot, AR",05017,113
"Clark, AR",05019,300
"Clay, AR",05021,58
"Cleburne, AR",05023,172
"Cleveland, AR",05025,14
"Columbia, AR",05027,282
"Conway, AR",05029,138
"Craighead, AR",05031,1535
"Crawford, AR",05033,392
"Crittenden, AR",05035,1032
"Cross, AR",05037,110
"Dallas, AR",05039,25
"Desha, AR",05041,150
"Drew, AR",05043,186
"Faulkner, AR",05045,1317
"Franklin, AR",05047,59
"Fulton, AR",05049,27
"Garland, AR",05051,1330
"Grant, AR",05053,95
"Greene, AR",05055,195
"Hempstead, AR",05057,148
"Hot Spring, AR",05059,224
"Howard, AR",05061,110
"Independence, AR",05063,287
"Izard, AR",05065,44
"Jackson, AR",05067,153
"Jefferson, AR",05069,1590
"Johnson, AR",05071,137
"Lafayette, AR",05073,19
"Lawrence, AR",05075,77
"Lee, AR",05077,79
"Lincoln, AR",05079,63
"Little River, AR",05081,132
"Logan, AR",05083,63
"Lonoke, AR",05085,479
"Madison, AR",05087,37
"Marion, AR",05089,79
"Miller, AR",05091,670
"Mississippi, AR",05093,1133
"Monroe, AR",05095,102
"Montgomery, AR",05097,21
"Nevada, AR",05099,57
"Newton, AR",05101,8
"Ouachita, AR",05103,341
"Perry, AR",05105,25
"Phillips, AR",05107,366
"Pike, AR",05109,41
"Poinsett, AR",05111,178
"Polk, AR",05113,73
"Pope, AR",05115,706
"Prairie, AR",05117,45
"Pulaski, AR",05119,12828
"Randolph, AR",05121,52
"St. Francis, AR",05123,317
"Saline, AR",05125,1013
"Scott, AR",05127,40
"Searcy, AR",05129,14
"Sebastian, AR",05131,1870
"Sevier, AR",05133,62
"Sharp, AR",05135,97
"Stone, AR",05137,20
"Union, AR",05139,587
"Van Buren, AR",05141,64
"Washington, AR",05143,3006
"White, AR",05145,562
"Woodruff, AR",05147,69
"Yell, AR",05149,82
CALIFORNIA,06000,621878
"Alameda, CA",06001,27192
"Alpine, CA",06003,27
"Amador, CA",06005,429
"Butte, CA",06007,6423
"Calaveras, CA",06009,478
"Colusa, CA",06011,320
"Contra Costa, CA",06013,7558
"Del Norte, CA",06015,566
"El Dorado, CA",06017,2333
"Fresno, CA",06019,27052
"Glenn, CA",06021,536
"Humboldt, CA",06023,4277
"Imperial, CA",06025,3230
"Inyo, CA",06027,564
"Kern, CA",06029,17882
"Kings, CA",06031,2965
"Lake, CA",06033,1133
"Lassen, CA",06035,583
"Los Angeles, CA",06037,204566
"Madera, CA",06039,2013
"Marin, CA",06041,1465
"Mariposa, CA",06043,269
"Mendocino, CA",06045,2333
"Merced, CA",06047,5941
"Modoc, CA",06049,156
"Mono, CA",06051,265
"Monterey, CA",06053,6063
"Napa, CA",06055,1776
"Nevada, CA",06057,1010
"Orange, CA",06059,10232
"Placer, CA",06061,2825
"Plumas, CA",06063,450
"Riverside, CA",06065,20996
"Sacramento, CA",06067,39098
"San Benito, CA",06069,663
"San Bernardino, CA",06071,31719
"San Diego, CA",06073,64440
"San Francisco, CA",06075,22694
"San Joaquin, CA",06077,15211
"San Luis Obispo, CA",06079,5643
"San Mateo, CA",06081,4395
"Santa Barbara, CA",06083,6402
"Santa Clara, CA",06085,9355
"Santa Cruz, CA",06087,2905
"Shasta, CA",06089,5544
"Sierra, CA",06091,89
"Siskiyou, CA",06093,1176
"Solano, CA",06095,6794
"Sonoma, CA",06097,5672
"Stanislaus, CA",06099,11995
"Sutter, CA",06101,1892
"Tehama, CA",06103,1072
"Trinity, CA",06105,292
"Tulare, CA",06107,8499
"Tuolumne, CA",06109,831
"Ventura, CA",06111,4353
"Yolo, CA",06113,5505
"Yuba, CA",06115,1731
COLORADO,08000,96382
"Adams, CO",08001,7479
"Alamosa, CO",08003,125
"Arapahoe, CO",08005,13312
"Archuleta, CO",08007,85
"Baca, CO",08009,23
"Bent, CO",08011,45
"Boulder, CO",08013,7981
"Broomfield, CO",08014,0
"Chaffee, CO",08015,232
"Cheyenne, CO",08017,23
"Clear Creek, CO",08019,171
"Conejos, CO",08021,10
"Costilla, CO",08023,13
"Crowley, CO",08025,39
"Custer, CO",08027,22
"Delta, CO",08029,209
"Denver, CO",08031,20146
"Dolores, CO",08033,0
"Douglas, CO",08035,481
"Eagle, CO",08037,467
"Elbert, CO",08039,67
"El Paso, CO",08041,13366
"Fremont, CO",08043,443
"Garfield, CO",08045,905
"Gilpin, CO",08047,64
"Grand, CO",08049,288
"Gunnison, CO",08051,346
"Hinsdale, CO",08053,14
"Huerfano, CO",08055,76
"Jackson, CO",08057,10
"Jefferson, CO",08059,11861
"Kiowa, CO",08061,6
"Kit Carson, CO",08063,89
"Lake, CO",08065,187
"La Plata, CO",08067,829
"Larimer, CO",08069,6213
"Las Animas, CO",08071,163
"Lincoln, CO",08073,63
"Logan, CO",08075,270
"Mesa, CO",08077,1914
"Mineral, CO",08079,4
"Moffat, CO",08081,150
"Montezuma, CO",08083,267
"Montrose, CO",08085,305
"Morgan, CO",08087,364
"Otero, CO",08089,271
"Ouray, CO",08091,38
"Park, CO",08093,53
"Phillips, CO",08095,36
"Pitkin, CO",08097,301
"Prowers, CO",08099,211
"Pueblo, CO",08101,1937
"Rio Blanco, CO",08103,111
"Rio Grande, CO",08105,115
"Routt, CO",08107,333
"Saguache, CO",08109,36
"San Juan, CO",08111,21
"San Miguel, CO",08113,116
"Sedgwick, CO",08115,12
"Summit, CO",08117,496
"Teller, CO",08119,141
"Washington, CO",08121,8
"Weld, CO",08123,2931
"Yuma, CO",08125,88
CONNECTICUT,09000,51159
"Fairfield, CT",09001,7656
"Hartford, CT",09003,17630
"Litchfield, CT",09005,2320
"Middlesex, CT",09007,1560
"New Haven, CT",09009,14070
"New London, CT",09011,4040
"Tolland, CT",09013,1286
"Windham, CT",09015,2597
DELAWARE,10000,16028
"Kent, DE",10001,2803
"New Castle, DE",10003,11313
"Sussex, DE",10005,1912
DISTRICT OF COLUMBIA,11000,29527
District of Columbia,11001,29527
FLORIDA,12000,368871
"Alachua, FL",12001,7088
"Baker, FL",12003,191
"Bay, FL",12005,3223
"Bradford, FL",12007,187
"Brevard, FL",12009,12756
"Broward, FL",12011,30606
"Calhoun, FL",12013,18
"Charlotte, FL",12015,2607
"Citrus, FL",12017,1454
"Clay, FL",12019,2536
"Collier, FL",12021,2808
"Columbia, FL",12023,599
"DeSoto, FL",12027,391
"Dixie, FL",12029,50
"Duval, FL",12031,25372
"Escambia, FL",12033,7853
"Flagler, FL",12035,463
"Franklin, FL",12037,82
"Gadsden, FL",12039,205
"Gilchrist, FL",12041,52
"Glades, FL",12043,80
"Gulf, FL",12045,117
"Hamilton, FL",12047,37
"Hardee, FL",12049,303
"Hendry, FL",12051,568
"Hernando, FL",12053,1596
"Highlands, FL",12055,1251
"Hillsborough, FL",12057,33672
"Holmes, FL",12059,84
"Indian River, FL",12061,2123
"Jackson, FL",12063,240
"Jefferson, FL",12065,78
"Lafayette, FL",12067,24
"Lake, FL",12069,2840
"Lee, FL",12071,10231
"Leon, FL",12073,7305
"Levy, FL",12075,164
"Liberty, FL",12077,14
"Madison, FL",12079,113
"Manatee, FL",12081,7050
"Marion, FL",12083,4130
"Martin, FL",12085,2091
"Miami-Dade, FL",12086,63909
"Monroe, FL",12087,1573
"Nassau, FL",12089,701
"Okaloosa, FL",12091,4235
"Okeechobee, FL",12093,637
"Orange, FL",12095,26262
"Osceola, FL",12097,2998
"Palm Beach, FL",12099,14314
"Pasco, FL",12101,6006
"Pinellas, FL",12103,31376
"Polk, FL",12105,11031
"Putnam, FL",12107,611
"St. Johns, FL",12109,2138
"St. Lucie, FL",12111,3013
"Santa Rosa, FL",12113,1361
"Sarasota, FL",12115,6146
"Seminole, FL",12117,8238
"Sumter, FL",12119,316
"Suwannee, FL",12121,182
"Taylor, FL",12123,149
"Union, FL",12125,36
"Volusia, FL",12127,10564
"Wakulla, FL",12129,103
"Walton, FL",12131,237
"Washington, FL",12133,83
GEORGIA,13000,155912
"Appling, GA",13001,93
"Atkinson, GA",13003,15
"Bacon, GA",13005,0
"Baker, GA",13007,2
"Baldwin, GA",13009,747
"Banks, GA",13011,44
"Barrow, GA",13013,642
"Bartow, GA",13015,1175
"Ben Hill, GA",13017,167
"Berrien, GA",13019,101
"Bibb, GA",13021,4770
"Bleckley, GA",13023,33
"Brantley, GA",13025,38
"Brooks, GA",13027,94
"Bryan, GA",13029,105
"Bulloch, GA",13031,760
"Burke, GA",13033,103
"Butts, GA",13035,277
"Calhoun, GA",13037,6
"Camden, GA",13039,758
"Candler, GA",13043,39
"Carroll, GA",13045,1345
"Catoosa, GA",13047,872
"Charlton, GA",13049,46
"Chatham, GA",13051,7752
"Chattahoochee, GA",13053,343
"Chattooga, GA",13055,113
"Cherokee, GA",13057,789
"Clarke, GA",13059,4209
"Clay, GA",13061,3
"Clayton, GA",13063,7223
"Clinch, GA",13065,27
"Cobb, GA",13067,12658
"Coffee, GA",13069,282
"Colquitt, GA",13071,357
"Columbia, GA",13073,1189
"Cook, GA",13075,111
"Coweta, GA",13077,1007
"Crawford, GA",13079,26
"Crisp, GA",13081,279
"Dade, GA",13083,124
"Dawson, GA",13085,76
"Decatur, GA",13087,183
"DeKalb, GA",13089,19484
"Dodge, GA",13091,71
"Dooly, GA",13093,48
"Dougherty, GA",13095,3128
"Douglas, GA",13097,1031
"Early, GA",13099,36
"Echols, GA",13101,2
"Effingham, GA",13103,380
"Elbert, GA",13105,90
"Emanuel, GA",13107,76
"Evans, GA",13109,68
"Fannin, GA",13111,50
"Fayette, GA",13113,402
"Floyd, GA",13115,1686
"Forsyth, GA",13117,572
"Franklin, GA",13119,77
"Fulton, GA",13121,25909
"Gilmer, GA",13123,85
"Glascock, GA",13125,5
"Glynn, GA",13127,1621
"Gordon, GA",13129,655
"Grady, GA",13131,100
"Greene, GA",13133,41
"Gwinnett, GA",13135,7712
"Habersham, GA",13137,307
"Hall, GA",13139,3009
"Hancock, GA",13141,34
"Haralson, GA",13143,170
"Harris, GA",13145,108
"Hart, GA",13147,112
"Heard, GA",13149,33
"Henry, GA",13151,544
"Houston, GA",13153,2527
"Irwin, GA",13155,36
"Jackson, GA",13157,392
"Jasper, GA",13159,97
"Jeff Davis, GA",13161,88
"Jefferson, GA",13163,122
"Jenkins, GA",13165,26
"Johnson, GA",13167,17
"Jones, GA",13169,191
"Lamar, GA",13171,222
"Lanier, GA",13173,56
"Laurens, GA",13175,486
"Lee, GA",13177,218
"Liberty, GA",13179,2001
"Lincoln, GA",13181,53
"Long, GA",13183,153
"Lowndes, GA",13185,1957
"Lumpkin, GA",13187,146
"McDuffie, GA",13189,216
"McIntosh, GA",13191,26
"Macon, GA",13193,62
"Madison, GA",13195,166
"Marion, GA",13197,6
"Meriwether, GA",13199,169
"Miller, GA",13201,14
"Mitchell, GA",13205,107
"Monroe, GA",13207,211
"Montgomery, GA",13209,9
"Morgan, GA",13211,131
"Murray, GA",13213,423
"Muscogee, GA",13215,6530
"Newton, GA",13217,896
"Oconee, GA",13219,356
"Oglethorpe, GA",13221,38
"Paulding, GA",13223,603
"Peach, GA",13225,261
"Pickens, GA",13227,131
"Pierce, GA",13229,45
"Pike, GA",13231,84
"Polk, GA",13233,490
"Pulaski, GA",13235,73
"Putnam, GA",13237,119
"Quitman, GA",13239,2
"Rabun, GA",13241,74
"Randolph, GA",13243,28
"Richmond, GA",13245,7678
"Rockdale, GA",13247,712
"Schley, GA",13249,16
"Screven, GA",13251,100
"Seminole, GA",13253,9
"Spalding, GA",13255,1701
"Stephens, GA",13257,283
"Stewart, GA",13259,36
"Sumter, GA",13261,313
"Talbot, GA",13263,2
"Taliaferro, GA",13265,2
"Tattnall, GA",13267,89
"Taylor, GA",13269,19
