Area_name,FIPS,VETS
UNITED STATES,0,8380356
ALABAMA,1000,147061
"Autauga, AL",1001,2203
"Baldwin, AL",1003,5920
"Barbour, AL",1005,990
"Bibb, AL",1007,560
"Blount, AL",1009,1441
"Bullock, AL",1011,231
"Butler, AL",1013,559
"Calhoun, AL",1015,5032
"Chambers, AL",1017,1223
"Cherokee, AL",1019,787
"Chilton, AL",1021,1279
"Choctaw, AL",1023,296
"Clarke, AL",1025,534
"Clay, AL",1027,383
"Cleburne, AL",1029,417
"Coffee, AL",1031,2298
"Colbert, AL",1033,1744
"Conecuh, AL",1035,516
"Coosa, AL",1037,354
"Covington, AL",1039,1218
"Crenshaw, AL",1041,413
"Cullman, AL",1043,2410
"Dale, AL",1045,2776
"Dallas, AL",1047,1287
"DeKalb, AL",1049,1581
"Elmore, AL",1051,2808
"Escambia, AL",1053,1276
"Etowah, AL",1055,3270
"Fayette, AL",1057,446
"Franklin, AL",1059,581
"Geneva, AL",1061,959
"Greene, AL",1063,168
"Hale, AL",1065,354
"Henry, AL",1067,580
"Houston, AL",1069,3106
"Jackson, AL",1071,1708
"Jefferson, AL",1073,19038
"Lamar, AL",1075,554
"Lauderdale, AL",1077,2682
"Lawrence, AL",1079,801
"Lee, AL",1081,3645
"Limestone, AL",1083,2493
"Lowndes, AL",1085,278
"Macon, AL",1087,665
"Madison, AL",1089,12009
"Marengo, AL",1091,479
"Marion, AL",1093,941
"Marshall, AL",1095,2604
"Mobile, AL",1097,13239
"Monroe, AL",1099,466
"Montgomery, AL",1101,8329
"Morgan, AL",1103,3841
"Perry, AL",1105,205
"Pickens, AL",1107,417
"Pike, AL",1109,781
"Randolph, AL",1111,588
"Russell, AL",1113,1768
"St. Clair, AL",1115,2252
"Shelby, AL",1117,4392
"Sumter, AL",1119,206
"Talladega, AL",1121,2570
"Tallapoosa, AL",1123,1385
"Tuscaloosa, AL",1125,4866
"Walker, AL",1127,2447
"Washington, AL",1129,468
"Wilcox, AL",1131,207
"Winston, AL",1133,737
ALASKA,2000,29512
"Aleutians East, AK",2013,59
"Aleutians West, AK",2016,186
"Anchorage, AK",2020,12801
"Bethel, AK",2050,314
"Bristol Bay, AK",2060,63
"Denali, AK",2068,137
"Dillingham, AK",2070,107
"Fairbanks North Star, AK",2090,3837
"Haines, AK",2100,148
"Hoonah-Angoon, AK",2105,174
"Juneau, AK",2110,1171
"Kenai Peninsula, AK",2122,2823
"Ketchikan Gateway, AK",2130,736
"Kodiak Island, AK",2150,519
"Lake and Peninsula, AK",2164,47
"Matanuska-Susitna, AK",2170,3368
"Nome, AK",2180,310
"North Slope, AK",2185,183
"Northwest Arctic, AK",2188,206
"Petersburg, AK",2195,264
"Prince of Wales-Hyder, AK",2198,282
"Sitka, AK",2220,365
"Skagway, AK",2230,0
"Southeast Fairbanks, AK",2240,408
"Valdez-Cordova, AK",2261,561
"Wade Hampton, AK",2270,95
"Wrangell, AK",2275,0
"Yakutat, AK",2282,48
"Yukon-Koyukuk, AK",2290,300
ARIZONA,4000,172688
"Apache, AZ",4001,1574
"Cochise, AZ",4003,7030
"Coconino, AZ",4005,3563
"Gila, AZ",4007,2209
"Graham, AZ",4009,857
"Greenlee, AZ",4011,373
"La Paz, AZ",4012,804
"Maricopa, AZ",4013,93671
"Mohave, AZ",4015,7242
"Navajo, AZ",4017,2559
"Pima, AZ",4019,33131
"Pinal, AZ",4021,6560
"Santa Cruz, AZ",4023,621
"Yavapai, AZ",4025,7826
"Yuma, AZ",4027,4668
ARKANSAS,5000,90041
"Arkansas, AR",5001,538
"Ashley, AR",5003,718
"Baxter, AR",5005,1718
"Benton, AR",5007,5006
"Boone, AR",5009,1108
"Bradley, AR",5011,358
"Calhoun, AR",5013,166
"Carroll, AR",5015,983
"Chicot, AR",5017,255
"Clark, AR",5019,600
"Clay, AR",5021,596
"Cleburne, AR",5023,1112
"Cleveland, AR",5025,302
"Columbia, AR",5027,615
"Conway, AR",5029,676
"Craighead, AR",5031,2536
"Crawford, AR",5033,2069
"Crittenden, AR",5035,1353
"Cross, AR",5037,543
"Dallas, AR",5039,242
"Desha, AR",5041,389
"Drew, AR",5043,493
"Faulkner, AR",5045,2888
"Franklin, AR",5047,666
"Fulton, AR",5049,477
"Garland, AR",5051,3066
"Grant, AR",5053,609
"Greene, AR",5055,1197
"Hempstead, AR",5057,579
"Hot Spring, AR",5059,1151
"Howard, AR",5061,327
"Independence, AR",5063,1139
"Izard, AR",5065,492
"Jackson, AR",5067,525
"Jefferson, AR",5069,2934
"Johnson, AR",5071,756
"Lafayette, AR",5073,293
"Lawrence, AR",5075,524
"Lee, AR",5077,270
