Agencies,type,ENGAG_INDX_2011,ENGAG_INDX_2012,ENGAG_INDX_2013,ENGAG_INDX_2014,ENGAG_INDX_2015,ENGAG_LEAD_2011,ENGAG_LEAD_2012,ENGAG_LEAD_2013,ENGAG_LEAD_2014,ENGAG_LEAD_2015,ENGAG_SUPV_2011,ENGAG_SUPV_2012,ENGAG_SUPV_2013,ENGAG_SUPV_2014,ENGAG_SUPV_2015,ENGAG_WORK_2011,ENGAG_WORK_2012,ENGAG_WORK_2013,ENGAG_WORK_2014,ENGAG_WORK_2015,HCAAF_LEAD_2011,HCAAF_LEAD_2012,HCAAF_LEAD_2013,HCAAF_LEAD_2014,HCAAF_LEAD_2015,HCAAF_RSLT_2011,HCAAF_RSLT_2012,HCAAF_RSLT_2013,HCAAF_RSLT_2014,HCAAF_RSLT_2015,HCAAF_TLNT_2011,HCAAF_TLNT_2012,HCAAF_TLNT_2013,HCAAF_TLNT_2014,HCAAF_TLNT_2015,HCAAF_SATF_2011,HCAAF_SATF_2012,HCAAF_SATF_2013,HCAAF_SATF_2014,HCAAF_SATF_2015,NEWIQ_INDX_2011,NEWIQ_INDX_2012,NEWIQ_INDX_2013,NEWIQ_INDX_2014,NEWIQ_INDX_2015,NEWIQ_FAIR_2011,NEWIQ_FAIR_2012,NEWIQ_FAIR_2013,NEWIQ_FAIR_2014,NEWIQ_FAIR_2015,NEWIQ_OPEN_2011,NEWIQ_OPEN_2012,NEWIQ_OPEN_2013,NEWIQ_OPEN_2014,NEWIQ_OPEN_2015,NEWIQ_COOP_2011,NEWIQ_COOP_2012,NEWIQ_COOP_2013,NEWIQ_COOP_2014,NEWIQ_COOP_2015,NEWIQ_SPRT_2011,NEWIQ_SPRT_2012,NEWIQ_SPRT_2013,NEWIQ_SPRT_2014,NEWIQ_SPRT_2015,NEWIQ_EMPW_2011,NEWIQ_EMPW_2012,NEWIQ_EMPW_2013,NEWIQ_EMPW_2014,NEWIQ_EMPW_2015,GLOBL_SATF_2011,GLOBL_SATF_2012,GLOBL_SATF_2013,GLOBL_SATF_2014,GLOBL_SATF_2015,TotalEnrollment,TotalFedFund
Broadcasting Board of Governors,1,57,56,58,56,58,43,41,43,39,43,63,63,64,63,65,66,63,67,64,66,49,48,49,46,50,48,46,46,44,47,50,48,48,45,48,64,61,63,61,62,50,48,49,47,49,37,37,36,33,36,48,48,47,46,47,45,42,45,41,43,67,66,68,66,69,52,48,51,49,50,57,53,54,50,52,24390,721.00
Court Services and Offender Supervision Agency,1,70,67,65,63,68,64,58,54,50,56,74,71,69,71,76,74,73,71,69,71,65,61,57,55,61,58,56,51,50,54,69,65,60,59,61,70,68,64,64,66,64,60,56,55,59,52,46,40,40,43,64,61,56,55,58,64,54,51,48,54,78,77,74,77,80,63,62,57,55,59,70,67,61,61,63,20154,233.00
Department of Agriculture,1,65,63,63,63,64,51,49,48,46,47,73,72,72,73,74,71,69,68,69,70,58,56,55,55,57,53,51,50,50,52,58,55,54,55,57,68,65,64,64,66,58,57,56,57,58,45,43,42,43,44,58,57,56,57,59,54,53,52,50,51,77,77,77,79,79,58,55,54,54,56,64,60,57,58,61,17239,146371.00
Department of Commerce,1,70,70,70,70,68,60,59,60,58,56,77,77,78,78,77,73,73,73,74,72,65,65,65,65,62,61,61,61,61,60,63,63,62,63,62,69,69,68,69,68,64,64,64,64,63,54,54,55,56,54,62,63,63,63,61,60,59,60,58,56,79,80,81,82,81,63,62,62,62,60,71,69,68,69,67,14941,11235.00
Department of Defense,1,68,67,65,64,65,58,57,54,52,54,72,72,71,71,72,73,72,69,69,70,64,63,61,60,61,55,54,51,51,53,61,60,56,55,58,68,67,63,63,65,60,59,57,57,58,46,45,43,43,44,58,57,55,55,57,59,58,56,53,55,74,74,73,74,75,63,62,58,58,59,66,64,58,59,61,9316,581295.00
Department of Education,1,64,65,66,67,68,55,54,56,55,56,71,73,75,75,77,67,67,69,69,71,60,60,61,61,62,53,53,54,56,57,58,57,58,59,61,65,64,64,65,66,56,57,59,60,61,43,44,45,47,47,55,56,58,59,60,54,53,55,56,56,75,77,80,80,81,54,54,56,57,59,62,60,60,62,64,8150,74202.00
Department of Energy,1,63,65,64,61,64,51,53,52,46,49,71,72,72,71,73,68,69,68,66,68,60,61,60,56,59,53,53,52,50,53,58,59,57,54,58,65,65,64,61,64,58,59,57,55,57,44,45,44,41,44,56,57,55,53,55,54,55,54,49,52,76,77,78,76,78,58,59,57,54,56,63,62,60,57,60,6463,25927.00
Department of Health and Human Services,1,65,66,66,66,68,55,56,56,55,57,70,70,71,71,73,71,72,72,72,73,60,60,60,60,62,55,55,54,55,56,59,59,59,59,61,68,67,66,66,68,58,58,58,59,60,46,45,44,46,48,57,57,57,58,59,56,56,57,56,57,73,74,74,75,76,60,60,59,60,61,65,65,63,64,65,5422,1020091.00
Department of Homeland Security,1,60,58,56,54,53,48,46,43,39,38,68,66,65,64,65,64,62,60,58,57,55,52,50,48,47,48,46,44,43,41,53,50,48,46,46,64,61,57,55,54,52,49,48,46,45,39,37,35,34,32,52,48,47,47,45,47,44,42,39,37,71,70,69,69,69,51,48,46,44,43,61,56,51,48,47,5263,44286.00
Department of Housing and Urban Development,1,61,62,57,57,62,53,53,45,43,49,67,68,65,66,71,65,65,60,61,66,57,57,52,51,56,49,50,45,46,50,49,50,44,46,51,63,63,56,59,63,52,54,49,49,54,40,41,36,35,41,51,51,46,46,52,52,54,49,48,53,69,72,68,70,74,50,51,45,46,51,60,59,49,51,57,5035,60249.00
