Agencies,type,ENGAG_INDX_2011,ENGAG_INDX_2012,ENGAG_INDX_2013,ENGAG_INDX_2014,ENGAG_INDX_2015,ENGAG_LEAD_2011,ENGAG_LEAD_2012,ENGAG_LEAD_2013,ENGAG_LEAD_2014,ENGAG_LEAD_2015,ENGAG_SUPV_2011,ENGAG_SUPV_2012,ENGAG_SUPV_2013,ENGAG_SUPV_2014,ENGAG_SUPV_2015,ENGAG_WORK_2011,ENGAG_WORK_2012,ENGAG_WORK_2013,ENGAG_WORK_2014,ENGAG_WORK_2015,HCAAF_LEAD_2011,HCAAF_LEAD_2012,HCAAF_LEAD_2013,HCAAF_LEAD_2014,HCAAF_LEAD_2015,HCAAF_RSLT_2011,HCAAF_RSLT_2012,HCAAF_RSLT_2013,HCAAF_RSLT_2014,HCAAF_RSLT_2015,HCAAF_TLNT_2011,HCAAF_TLNT_2012,HCAAF_TLNT_2013,HCAAF_TLNT_2014,HCAAF_TLNT_2015,HCAAF_SATF_2011,HCAAF_SATF_2012,HCAAF_SATF_2013,HCAAF_SATF_2014,HCAAF_SATF_2015,NEWIQ_INDX_2011,NEWIQ_INDX_2012,NEWIQ_INDX_2013,NEWIQ_INDX_2014,NEWIQ_INDX_2015,NEWIQ_FAIR_2011,NEWIQ_FAIR_2012,NEWIQ_FAIR_2013,NEWIQ_FAIR_2014,NEWIQ_FAIR_2015,NEWIQ_OPEN_2011,NEWIQ_OPEN_2012,NEWIQ_OPEN_2013,NEWIQ_OPEN_2014,NEWIQ_OPEN_2015,NEWIQ_COOP_2011,NEWIQ_COOP_2012,NEWIQ_COOP_2013,NEWIQ_COOP_2014,NEWIQ_COOP_2015,NEWIQ_SPRT_2011,NEWIQ_SPRT_2012,NEWIQ_SPRT_2013,NEWIQ_SPRT_2014,NEWIQ_SPRT_2015,NEWIQ_EMPW_2011,NEWIQ_EMPW_2012,NEWIQ_EMPW_2013,NEWIQ_EMPW_2014,NEWIQ_EMPW_2015,GLOBL_SATF_2011,GLOBL_SATF_2012,GLOBL_SATF_2013,GLOBL_SATF_2014,GLOBL_SATF_2015,TotalEnrollment,TotalFedFund,numberofEmployees,TotalFedFundB,founded,age,fundingPerEmployee,,successionOrder
Department of Agriculture,1,65,63,63,63,64,51,49,48,46,47,73,72,72,73,74,71,69,68,69,70,58,56,55,55,57,53,51,50,50,52,58,55,54,55,57,68,65,64,64,66,58,57,56,57,58,45,43,42,43,44,58,57,56,57,59,54,53,52,50,51,77,77,77,79,79,58,55,54,54,56,64,60,57,58,61,17239,146371,85236,146,1862,153,2,224625,9
Department of Commerce,2,70,70,70,70,68,60,59,60,58,56,77,77,78,78,77,73,73,73,74,72,65,65,65,65,62,61,61,61,61,60,63,63,62,63,62,69,69,68,69,68,64,64,64,64,63,54,54,55,56,54,62,63,63,63,61,60,59,60,58,56,79,80,81,82,81,63,62,62,62,60,71,69,68,69,67,14941,11235,39000,11,1903,113,0,215843,10
Department of Defense,3,68,67,65,64,65,58,57,54,52,54,72,72,71,71,72,73,72,69,69,70,64,63,61,60,61,55,54,51,51,53,61,60,56,55,58,68,67,63,63,65,60,59,57,57,58,46,45,43,43,44,58,57,55,55,57,59,58,56,53,55,74,74,73,74,75,63,62,58,58,59,66,64,58,59,61,9316,581295,611658,581,1947,68,1,,6
Department of Education,4,64,65,66,67,68,55,54,56,55,56,71,73,75,75,77,67,67,69,69,71,60,60,61,61,62,53,53,54,56,57,58,57,58,59,61,65,64,64,65,66,56,57,59,60,61,43,44,45,47,47,55,56,58,59,60,54,53,55,56,56,75,77,80,80,81,54,54,56,57,59,62,60,60,62,64,8150,74202,3803,74,1979,36,19,,16
Department of Energy,5,63,65,64,61,64,51,53,52,46,49,71,72,72,71,73,68,69,68,66,68,60,61,60,56,59,53,53,52,50,53,58,59,57,54,58,65,65,64,61,64,58,59,57,55,57,44,45,44,41,44,56,57,55,53,55,54,55,54,49,52,76,77,78,76,78,58,59,57,54,56,63,62,60,57,60,6463,25927,13341,26,1977,38,2,206655,15
Department of Health and Human Services,6,65,66,66,66,68,55,56,56,55,57,70,70,71,71,73,71,72,72,72,73,60,60,60,60,62,55,55,54,55,56,59,59,59,59,61,68,67,66,66,68,58,58,58,59,60,46,45,44,46,48,57,57,57,58,59,56,56,57,56,57,73,74,74,75,76,60,60,59,60,61,65,65,63,64,65,5422,1020091,53783,1020,1980,36,19,261950,12
Department of Homeland Security,7,60,58,56,54,53,48,46,43,39,38,68,66,65,64,65,64,62,60,58,57,55,52,50,48,47,48,46,44,43,41,53,50,48,46,46,64,61,57,55,54,52,49,48,46,45,39,37,35,34,32,52,48,47,47,45,47,44,42,39,37,71,70,69,69,69,51,48,46,44,43,61,56,51,48,47,5263,44286,128791,44,2002,13,0,205287,18
Department of Housing and Urban Development,8,61,62,57,57,62,53,53,45,43,49,67,68,65,66,71,65,65,60,61,66,57,57,52,51,56,49,50,45,46,50,49,50,44,46,51,63,63,56,59,63,52,54,49,49,54,40,41,36,35,41,51,51,46,46,52,52,54,49,48,53,69,72,68,70,74,50,51,45,46,51,60,59,49,51,57,5035,60249,9415,60,1965,50,6,199700,13
Department of Justice,9,69,67,66,66,68,59,57,57,55,58,75,71,72,72,74,73,71,71,71,73,64,62,62,62,63,56,54,53,53,55,62,60,58,58,61,70,68,66,67,69,61,58,58,58,60,47,44,43,43,45,60,58,57,58,60,59,56,56,54,57,77,74,75,75,76,63,60,59,59,61,72,68,66,66,69,4851,30001,103479,30,1870,145,0,,7
Department of Labor,10,64,64,62,64,67,54,55,52,53,57,70,70,69,71,73,68,68,66,67,70,61,60,59,60,63,53,53,51,53,55,54,55,52,53,57,66,65,62,64,66,56,56,55,56,59,45,45,42,45,46,54,54,52,54,56,53,53,51,52,56,76,75,75,77,78,55,54,52,53,56,63,61,57,60,64,4803,71791,16000,72,1913,103,5,199700,11
