roomType,bldgCode,roomNum,OS,pcQty,macQty,softwarePackage,avDevices,ext,supportContact,specialHardware,address,bldgName,note
Classroom,A,001,Mac & Windows PC,0,1,Mac Standard Software,Blu-ray; DVD; VHS; HD Projector ,None,IT Service Desk 212.229.5300 x4357,,bldgAddress,bldgName,
Classroom,A,002,Mac & Windows PC,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Event Space,A,001,Connect Your Laptop,0,0,None,DVD; VHS ,None,Media Services 212.229.5300 x2310,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,SVGA Only
Classroom,A,306,Connect Your Laptop,0,0,None,DVD; VHS ,None,Media Services 212.229.5300 x2310,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,SVGA Only
Classroom,A,403,Connect Your Laptop,0,0,None,DVD; VHS ,None,Media Services 212.229.5300 x2310,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,SVGA Only
Classroom,A,404,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,405,Connect Your Laptop,0,0,None,DVD; VHS ,None,Media Services 212.229.5300 x2310,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,SVGA Only
Classroom,A,406,Mac,0,1,Mac Standard Software,DVD; VHS ,None,Media Services 212.229.5300 x2310 *(Video conferencing requires advanced coordination with the Lang Dean's Office),,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,407,Mac,0,1,Mac Standard Software,DVD; VHS ,None,Media Services 212.229.5300 x2310,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,410,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,501,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,502,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,509,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Event Space,A,510,Connect Your Laptop,0,0,None,DVD; VHS ,None,Media Services 212.229.5300 x2310,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,SVGA Only
Classroom,A,513,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,517,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,518,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,601,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,602,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,615,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,617,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,618,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,701,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,702,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Event Space,A,712,Connect Your Laptop,0,0,None,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,SVGA Only
Experimental Classroom,A,713,Mac,0,1,Mac Standard Software,DVD; VHS ,None,Media Services 212.229.5300 x2310,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,715,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,A,716,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Conference Room,A,801,Mac & Windows PC,0,1,Mac & Windows PC Standard Software,DVD; VHS ,None,Media Services 212.229.5300 x2310,,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Classroom,B,50,Mac,0,1,Mac Standard Software,DVD; VHS ,None,Media Services 212.229.5300 x2310 *(Video conferencing requires advanced coordination with the Lang Dean's Office via email to spiegelJ@newschool.edu),,66 West 12th Street,ALVIN JOHNSON/J.M. KAPLAN HALL,
Express Stations,B,73,Mac,0,13,Mac Express Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,65 West 11th Street,LANG,
Classroom,B,102,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,65 West 11th Street,LANG,
Classroom,B,258,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,65 West 11th Street,LANG,
Classroom,B,259,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,65 West 11th Street,LANG,
Classroom,B,260,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,65 West 11th Street,LANG,
Classroom,B,261,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,65 West 11th Street,LANG,
Classroom,B,262,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,65 West 11th Street,LANG,
Classroom,B,263,Mac,0,1,Mac Standard Software,Blu-ray; DVD; VHS; HD Projector ,None,IT Service Desk 212.229.5300 x4357,,65 West 11th Street,LANG,
Conference Room,B,354C,Mac,0,1,Mac Standard Software,DVD; VHS ,None,Media Services 212.229.5300 x2310 *(Video conferencing requires advanced coordination with the Lang Dean's Office via email to spiegelJ@newschool.edu),,65 West 11th Street,LANG,
Classroom Lang Science Lab,B,459,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,65 West 11th Street,LANG,
Classroom,B,464,Mac,0,1,Mac Standard Software,DVD; VHS ,None,Media Services 212.229.5300 x2310 *(Video conferencing requires advanced coordination with the Lang Dean's Office via email to spiegelJ@newschool.edu),,65 West 11th Street,LANG,
Classroom,B,465,Mac,0,1,Mac Standard Software,Blu-ray; DVD; VHS; HD Projector ,None,IT Service Desk 212.229.5300 x4357,,65 West 11th Street,LANG,
Event Space,B,500,None,0,0,None,DVD; VHS ,None,Media Services 212.229.5300 x2310,,65 West 11th Street,LANG,
Express Stations,D,1000,Mac,0,6,Mac Express Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,65 West 11th Street,LANG,
Classroom,D,1001,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1002,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1003,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1004,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1005,Connect Your Laptop,0,0,None,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,SVGA Only
Classroom,D,1006,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1008,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1009,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Express Stations,D,1100,Mac,0,6,Mac Express Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1101,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1102,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Event Space,D,1103,Mac,0,1,Mac Standard Software,DVD; VHS ,None,Media Services 212.229.5300 x2310,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1104,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1106,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1107,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1108,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1109,Mac,0,21,Mac Standard Software + Avid,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Open Lab,D,1131,Windows PC,11,0,Windows PC Standard & Accessibility Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1132,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Express Stations,D,1212,Mac,0,4,Mac Express Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Conference Room,D,1613,Mac,0,1,Mac Express Software,DVD; VHS ,None,Media Services 212.229.5300 x2310,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Conference Room,D,1618,Mac,0,1,Mac Express Software,DVD; VHS ,None,Media Services 212.229.5300 x2310,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Conference Room,D,1621,Connect Your Laptop,0,0,None,DVD; VHS ,None,Media Services 212.229.5300 x2310,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,SVGA & HDMI Only
Conference Room,D,1645,Windows PC,1,0,Windows PC Express Software,DVD; VHS ,None,Media Services 212.229.5300 x2310,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,1828,Connect Your Laptop,0,0,None,DVD; VHS ,None,Media Services 212.229.5300 x2310,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,SVGA Only
Conference Room,D,501,Connect Your Laptop,0,0,None,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,SVGA Only
Classroom,D,706,Windows PC,24,0,Windows PC Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,605,Mac,0,20,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,607,Mac,0,20,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,602,Mac,0,20,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Conference Room,D,604,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Conference Room,D,608,Mac,0,1,Mac Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,600,Mac,0,1,Mac & Windows PC Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
Classroom,D,601,Mac,0,1,Mac & Windows PC Standard Software,DVD; VHS ,None,IT Service Desk 212.229.5300 x4357,,6 East 16th Street,ALBERT AND VERA LIST ACADEMIC CENTER,
