Type,Name,Description,Qty,Notes
360,Ricoh Theta,360 Camera,1,
360,Nikon KeyMission 360 Camera,360 Camera,1,Includes extension arm and scandisk adapter
360,Nikon KeyMission 360 Extension Arm,Extension arm for Nikon KeyMission,1,
VR,Oculus Rift,Headset/controllers,1,requires a AA battery in each controller
VR,Oculus Rift Base Stations,Base stations for the Oculus Rift,2,Must be set up on a table
VR,HTC Vive,Headset/controllers,1,
VR,HTC Vive Base Stations,Base stations for the HTC Vive,2,Installed in the corners of the XR Center
VR,Utopia 360 VR Headset,Headset/controllers,1,"Requires 2 AAA batteries for bluetooth controller, includes bluetooth earbuds "
VR,Samsung Gear VR,Headset/controllers,1,"- Compatible with Galaxy S7, S7 Edge, Note 5, S6 Edge+, and S6 Edge
- Requires Samsung approved USB cables for charging
- Requires Oculus app"
VR,Google Daydream View,Headset/controllers,1,- Includes bluetooth controller
VR,Google Daydream View Bluetooth Controller,Headset/controllers,1,Requires USB type C for charging
VR,Knox V2 Cardboard Glasses,Headset/controllers,6,
,,,,
Phone,Blu Android Phone,Android Phone,1,
Phone,Blu Android Phone Charger,Phone Charger,1,For use with Blu Android phone
Phone,Galaxy S7,Android Phone,1,
Phone,Galaxy Grand Prime,Android Phone,1,AR only
Phone,Samsung USB Charger,Charger for the Samsung Galaxy Grand Prime and Galaxy S7,1,
Phone,iPhone 7,Apple Phone,1,Includes charger and bluetooth earbuds
Phone,iPhone 7 Charger,Phone Charger,1,For iPhone 7
Phone,iPhone 6 Plus,Apple Phone,1,
Headphones,Samsung Level U Wireless Headphones,Wireless earbuds for use with phones ,1,
Headphones,iPhone 7 Earbuds (pair),Wireless earbuds for use with iPhone 7,1,
Other,Fovitec Studio Pro Stands,Stands for 360 camera,2,
